abbreviation,description
BCOP,Bovine corneal opacity and permeability test (анализ прозрачности/непрозрачности бычьей роговицы)
BCR,B cell receptor (в-клеточный рецептор)
BCR,"Breakpoint cluster region (область кластерного разрыва): участок днк, кодирующий одноименный белок"
BCR-ABL,"Breakpoint cluster region-abelson (кластерный регион точечного разрыва абельсона): белок, ассоциированный с хроническим миелоидным лейкозом"
BCR-Abl,"Breakpoint cluster region-abelson (кластерный регион точечного разрыва абельсона): белок, ассоциированный с хроническим миелоидным лейкозом"
BCRP,Breast cancer resistance protein (белок резистентности рака молочной железы)
BCS,Biopharmaceutics classification system (биофармацевтическая классификационная система)
BDC,Bile duct cannulation (канюлированный желчный проток)
BIBF 1202,Метаболит нинтеданиба
BIC,Bictegravir (биктегравир)
BIC/B,"Bictegravir/booster (биктегравир, бустированный препаратом)"
BIC/FTC/TAF,Bictegravir/emtricitabine/tenofovir alafenamide (биктегравир/эмтрицитабин/тенофовир алафенамид)
BICR,Blinded independent central review (независимая централизованная оценка в слепом режиме)
BIKE,"Bmp-2 inducible kinase (киназа, индуцируемая bmp-2)"
BLC,Basophilic leukemia cells (клетки базофильного лейкоза)
BMMC,Bone marrow-derived mast cells (тучные клетки костного мозга мышей)
BNP,B-type natriuretic peptide (натрийуретический пептид b-типа)
BONF,Brain-derived neurotrophic factor (нейротрофический фактор из тканей мозга)
BOV,"Between-occasion variability (дисперсия между событиями): фармакокинетический параметр, отражающий изменчивость между разными введениями препарата"
BPAR,Biopsy-proven acute rejection (подтвержденные биопсией эпизоды острого отторжения)
BPI,Brief pain inventory (краткий опросник оценки боли)
BR,Bendamustine with rituximab (бендамустин в комбинации с ритуксимабом)
BRAF,"B-raf proto-oncogene, serine/threonine kinase (серин/треониновая протеинкиназа b-raf)"
BRCA,Breast cancer gene (ген рака молочной железы)
BSA,Body surface area (площадь поверхности тела)
BSC,Best supportive care (наилучшая поддерживающая терапия)
BSEP,Bile salt export pump (белок-переносчик солей желчных кислот)
BSV,Between-subject variability (межсубъектная вариабельность)
BTK,Bruton’s tyrosine kinase (тирозинкиназа брутона)
BUN,Blood urea nitrogen (азот мочевины в крови)
BVDV,Bovine viral diarrhea virus (вирус диареи крупного рогатого скота)
BZD,Benzodiazepines (бензодиазепины)
Bridge-терапия,"Bridge therapy (терапия «ожидания»): неоадъювантное или иное противоопухолевое лечение для пациентов, ожидающих трансплантацию печени"
C0,Initial drug concentration (начальная концентрация лекарственного препарата в крови)
C24,Concentration at 24 hours (концентрация через 24 часа после приема лекарственного вещества)
CACO-2,Caco-2 (иммортализованная клеточная линия колоректальной аденокарциномы человека)
CART,"Cocaine- and amphetamine-regulated transcript (пептид, происходящий из регулируемого кокаином и амфетамином транскрипта)"
CC50,"50% cytotoxic concentration (средняя цитотоксическая концентрация): концентрация вещества, при которой гибнет 50% клеток в эксперименте"
CCK1,Cholecystokinin receptor 1 (рецептор холецистокинина a)
CCL19,Cc motif chemokine ligand 19 (лиганд 19 хемокина с мотивом cc)
CCR5,C-c chemokine receptor 5 (c-c-рецептор хемокина 5)
CD,Cluster of differentiation (кластер дифференцировки)
CD (SD),Sprague dawley (спрег-доули): линия лабораторных крыс-альбиносов
CD (SD) BR,"Sprague-dawley rats, barrier raised (лабораторные крысы спрег-доули, выращенные в условиях барьера)"
CDAI,Clinical disease activity index (индекс клинической активности заболевания)
CDK,Cyclin-dependent kinase (циклин-зависимая киназа)
CDK4,Cyclin-dependent kinase 4 (циклин-зависимая киназа 4)
CDK6,Cyclin-dependent kinase 6 (циклин-зависимая киназа 6)
CEF,Composite endpoint of failure (первичная комбинированная конечная точка неэффективности)
CES,Carboxylesterase (карбоксилэстераза)
CES1,Carboxylesterase 1 (карбоксилэстераза 1)
CHADS2,"Congestive heart failure, hypertension, age, diabetes, stroke (шкала оценки риска инсульта у пациентов с фибрилляцией предсердий)"
CHAQ,Children's health assessment questionnaire (опросник оценки здоровья детей)
CHMP,Committee for medicinal products for human use (комитет по лекарственным средствам для медицинского применения)
CHO,Chinese hamster ovary (клетки яичников китайского хомяка)
CKD-EPI,Chronic kidney disease epidemiology collaboration (формула расчета скорости клубочковой фильтрации)
CL,"Clearance (клиренс): показатель, характеризующий скорость выведения лекарственного вещества из плазмы крови"
CL/F,"Apparent clearance (кажущийся клиренс): общий клиренс лекарственного вещества после внесосудистого введения, учитывающий биодоступность (f)"
CLCR,Creatinine clearance (клиренс креатинина)
CLL,Chronic lymphocytic leukemia (хронический лимфолейкоз)
CLNR,Non-renal clearance (внепочечный клиренс)
CLR,Renal clearance (почечный клиренс)
CLp,Plasma clearance (плазменный клиренс)
CLu,Unbound clearance (собственный клиренс): клиренс несвязанной (свободной) фракции препарата
CNP,C-type natriuretic peptide (натрийуретический пептид c-типа)
CO2,"Carbon dioxide (углекислый газ, оксид углерода iv)"
COBI,Cobicistat (кобицистат)
COVID-19,Coronavirus disease 2019 (коронавирусная инфекция 2019 года)
CP,Cyclophosphamide (циклофосфамид)
CP-690550,Лабораторный шифр тофацитиниба
CP-690550-10,"Cp-690550 в форме водной суспензии в носителе, состоящем из 5% метилцеллюлозы и 0,025% твин-80"
CPAP,Continuous positive airway pressure (терапия постоянным положительным давлением в дыхательных путях)
CPMP,Committee for proprietary medicinal products (комитет по лекарственным средствам)
CR,Controlled release (контролируемое высвобождение)
CRC,Concentration-response curve (кривая концентрация-ответ)
CRF,Circulating recombinant forms (циркулирующие рекомбинантные формы)
CSF1R,Colony stimulating factor 1 receptor (рецептор колониестимулирующего фактора 1)
CTCAE,Common terminology criteria for adverse events (общие критерии оценки степени тяжести нежелательных явлений)
CTEPH,Chronic thromboembolic pulmonary hypertension (хроническая тромбоэмболическая легочная гипертензия)
CTLA-4,Cytotoxic t-lymphocyte-associated antigen 4 (антиген 4 цитотоксических t-лимфоцитов)
CV,"Coefficient of variation (коэффициент вариации): статистическая мера относительной изменчивости данных, выраженная в процентах"
CVOT,Cardiovascular outcome trial (исследование сердечно-сосудистых исходов)
CVintra,Intraindividual variability (внутрииндивидуальная вариабельность): мера изменчивости показателей у одного и того же индивида
CYP,Cytochrome p450 (цитохром p450)
CYP450,Cytochrome p450 (цитохром p450)
CaMK2d,Calcium/calmodulin-dependent protein kinase ii delta (кальций/кальмодулин-зависимая протеинкиназа δ)
CaMK2g,Calcium/calmodulin-dependent protein kinase ii gamma (кальций/кальмодулин-зависимая протеинкиназа γ)
CaMKII,Calmodulin-dependent protein kinase ii (кальмодулин-зависимая протеинкиназа ii)
Cav,Average concentration (средняя концентрация)
Ceff,Effective concentration (фармакологически эффективная концентрация)
Child – Pugh,Child-pugh classification (классификация чайлда-пью): метод оценки тяжести цирроза печени и прогнозирования выживаемости пациента на основе клинических и лабораторных показателей
Child–Pugh,Child-pugh classification (классификация чайлда-пью): метод оценки тяжести цирроза печени и прогнозирования выживаемости пациента на основе клинических и лабораторных показателей
Cl,"Clearance (клиренс): показатель, характеризующий скорость выведения лекарственного вещества из плазмы крови"
Cl/F,"Apparent clearance (кажущийся клиренс): общий клиренс лекарственного вещества после внесосудистого введения, учитывающий биодоступность (f)"
Clast,Last measurable concentration (последняя ненулевая концентрация)
ClinicalTrials.gov Identifier,Clinicaltrials.gov identifier (идентификатор исследования на сайте clinicaltrials.gov)
Clt,"Total clearance (общий клиренс препарата): показатель, характеризующий скорость выведения лекарственного вещества из плазмы крови"
Cmax,"Maximum concentration (максимальная концентрация): наибольшая концентрация лекарственного вещества, достигаемая в плазме крови"
Cmaxss,"Maximum steady-state concentration (максимальная концентрация в равновесном состоянии): наибольшая концентрация лекарственного вещества, достигаемая в плазме в течение дозировочного интервала при установившемся равновесии"
Cmin,Minimum concentration (минимальная концентрация): наименьшая наблюдаемая концентрация лекарственного вещества в плазме крови
Covid-19,Coronavirus disease 2019 (коронавирусная инфекция 2019 года)
CrCl,Creatinine clearance (клиренс креатинина)
CsA,Cyclosporine a (циклоспорин а)
Ctrough,Trough concentration (концентрация перед очередным введением)
"Ctrough,ss",Rough concentration at steady state (концентрация лекарственного вещества в плазме в стационарном состоянии)
Cys,Cysteine (цистеин)
CРБ,C-реактивный белок
DAS28-4(СОЭ),"Disease activity score 28 with 4 variables (четыре переменные для 28 суставов по шкале активности заболевания), включая скорость оседания эритроцитов"
DAS28-hsCRP,Disease activity score 28 with high-sensitivity c-reactive protein (показатель активности заболевания в 28 суставах с помощью высокочувствительного анализа с-реактивного белка)
DAT,Dopamine transporter (переносчик дофамина)
DCV,Daclatasvir (даклатасвир)
DDW,Distilled deionized water (дистиллированная деионизированная вода)
DEX,Deferasirox (деферазирокс)
DFN,Deferiprone (деферипрон)
DFO,Deferoxamine (дефероксамин)
DICER1,Dicer1 gene (ген dicer1)
DIRKO,Double incretin receptor knockout mice (линия мышей нокаутных по генам рецепторов гормонов-инкретинов)
DL0,"Maximum non-lethal dose (максимальная нелетальная доза): высшая доза вещества, не вызывающая летального исхода"
DLCO,Diffusing capacity for carbon monoxide (диффузионная способность легких по монооксиду углерода)
DLQI,Dermatology life quality index (дерматологический индекс качества жизни)
DLV,Delavirdine (делавирдин)
DNA,Deoxyribonucleic acid (дезоксирибонуклеиновая кислота)
DOR,Doravirine (доравирин)
DP,Diphosphate (дифосфат)
DPP,Dipeptidyl peptidase (дипептидил-пептидаза)
DPP-IV,Dipeptidyl peptidase-4 inhibitor (ингибитор дипептидилпептидазы-4)
DRESS,Drug reaction with eosinophilia and systemic symptoms (лекарственная реакция с эозинофилией и системными проявлениями)
DRV,Darunavir (дарунавир)
DRV/r,Darunavir/ritonavir (дарунавир/ритонавир)
DSS,Dahl salt-sensitive rat (перегруженные солью крысы dahl)
DTG,Dolutegravir (долутегравир)
DTSQ,Diabetes treatment satisfaction questionnaire (опросник удовлетворенности от лечения диабета)
Dx+,Diagnostic-positive (диагностированный)
Dx-,Diagnostic-negative (недиагностированный)
EAC,Event adjudication committee (комитет по оценке нежелательных явлений)
EACS,European aids clinical society (европейское клиническое общество по спиду)
EASD,European association for the study of diabetes (европейская ассоциация по изучению сахарного диабета)
EASI,Eczema area and severity index (индекс площади и тяжести экземы)
EBSS,Earle's balanced salt solution (сбалансированный солевой раствор эрла)
EC50,"Median effective concentration (медианная эффективная концентрация): концентрация вещества, при которой достигается 50% от его максимального эффекта"
ECE,Endothelin converting enzyme (эндотелин-превращающий фермент)
ECOG,Eastern cooperative oncology group (восточная объединённая онкологическая группа)
ED50,"Median effective dose (полуэффективная доза): доза вещества, обеспечивающая требуемый терапевтический эффект у 50% испытуемых"
EFS,Event-free survival (бессобытийная выживаемость)
EFV,Efavirenz (эфавиренз)
EGFR,Epidermal growth factor receptor (рецептор эпидермального фактора роста)
EMA,European medicines agency (европейское агентство по лекарственным средствам)
ENF,Enfuvirtide (энфувиртид)
EORTC,European organisation for research and treatment of cancer (европейская организация по исследованию и лечению рака)
EPC,Established pharmacologic class (установленный фармакологический класс)
EQ-5D,European quality of life 5-domain scale (европейская шкала оценки качества жизни по пяти аспектам)
EQ5D,European quality of life 5-domain scale (европейская шкала оценки качества жизни по пяти аспектам)
ER,Estrogen receptor (рецептор эстрогенов)
ER,Exposure ratio (коэффициент экспозиции/коэффициент воздействия)
ER+,Estrogen receptor-positive (эстроген-положительный)
ER-,"Estrogen receptor-negative (негативная по рецептору эстрогена): опухоль, не экспрессирующая рецепторы эстрогена"
ERAUC,"Exposure ratio based on auc (коэффициент экспозиции, основанный на auc)"
ERK,"Extracellular signal-regulated kinase (киназа, регулируемая внеклеточными сигналами)"
ESI,Electrospray ionization (источник ионизации электрораспылением)
ESMO,European society for medical oncology (европейское общество медицинской онкологии)
ESV,Elsulfavirine (элсульфавирин)
ETR,Etravirine (этравирин)
EULAR,European league against rheumatism (критерии ревматоидного артрита европейской антиревматической лиги)
EVG,Elvitegravir (элвитегравир)
EVG/c,"Elvitegravir/cobicistat (элвитегравир, бустированный кобицистатом)"
F,Bioavailability (биодоступность)
F,Females (самки)
FACIT-F,Functional assessment of chronic illness therapy – fatigue (опросник для оценки функционального состояния при хронических заболеваниях – подшкала усталости)
FACT-P,Functional assessment of cancer therapy – prostate (шкала функциональной оценки противораковой терапии – рак предстательной железы)
FAERS,Fda adverse event reporting system (система сообщений о нежелательных явлениях fda)
FAS,Full analysis set (полный набор данных для анализа)
FBS,Fetal bovine serum (фетальная бычья сыворотка)
FDA,Food and drug administration (управление по санитарному надзору за качеством пищевых продуктов и медикаментов сша)
FDC,Fixed-dose combination (комбинация фиксированных доз)
FGFR,Fibroblast growth factor receptor (рецептор фактора роста фибробластов)
FIH,Factor inhibiting hypoxia-inducible factor (фактор ингибирования гипоксия-индуцируемого фактора)
FIP1L1,"Factor interacting with poly(a) polymerase l1 (фактор, взаимодействующий с поли(а)-полимеразой l1)"
FKB-12,Fk-binding protein 12 (fk-связывающий белок 12)
FLT3LG,"Feline mcdonough sarcoma-like tyrosine kinase 3 ligand (лиганд тирозинкиназы 3, родственный тирозинкиназе fms)"
FMI,"Final marketed item (окончательный вариант, предназначенный для обращения на рынке)"
FMO,Flavin-containing monooxygenase (флавинсодержащая монооксигеназа)
FMO3,"Flavin-containing monooxygenase 3 (мутация, ассоциированная с триметиламинурией)"
FOLFIRI,"Fluorouracil, leucovorin, irinotecan (фторурацил, лейковорин, иринотекан)"
FOLFOX,"Fluorouracil, leucovorin, oxaliplatin (фторурацил, лейковорин, оксалиплатин)"
FPD,Fine particle diameter (диаметр мелкодисперсных частиц)
FPV/r,Fosamprenavir/ritonavir (фосампренавир/ритонавир)
FTC,Emtricitabine (эмтрицитабин)
FTC/F,Emtricitabine/fumarate (эмтрицитабин/фумарат)
Fe (0-t),"Fraction of dose excreted in urine (доля от введенной дозы вещества, экскретируемой с мочой в течение t часов после введения)"
Flt-3,Feline mcdonough sarcoma-like tyrosine kinase 3 (fms-подобная протеинтирозинкиназа)
Frel,Relative bioavailability (относительная биодоступность)
G-CSF,Granulocyte colony-stimulating factor (гранулоцитарный колониестимулирующий фактор)
GAK,G-associated kinase (g-ассоциированная киназа)
GAS6 (AXL),"Growth arrest-specific 6 (витамин k-зависимый белок, активирующий рецепторную тирозинкиназу axl)"
GCP,Good clinical practice (надлежащая клиническая практика)
GD,Gestational day (день гестации)
GINA,Global initiative for asthma (глобальная инициатива по бронхиальной астме)
GIP,Gastric inhibitory polypeptide (желудочный ингибитор полипептида)
GLDH,Glutamate dehydrogenase (глутаматдегидрогеназа)
GLE,Glecaprevir (глекапревир)
GLI,"Glioma-associated oncogene (онкоген, ассоциированный с глиомой)"
GLP,Good laboratory practice (надлежащая лабораторная практика)
GLP-1R,Glucagon-like peptide-1 receptor (рецептор к глюкагоноподобному пептиду-1)
GLUT,Glucose transporter (глюкозный транспортер)
GM,Geometric mean (геометрическое среднее)
GMR,Geometric mean ratio (отношение геометрических средних)
GP,Glycoprotein (гликопротеин)
GSS,Genotypic susceptibility score (оценка генотипической восприимчивости)
GST,Glutathione s-transferase (глутатион-s-трансфераза)
GT,Genotype (генотип)
Glu,Glutamic acid (глутаминовая кислота)
GlyT1,Glycine transporter 1 (глицин-1 переносчик)
Gmean,Geometric mean (геометрическое среднее)
H2RA,Histamine-2 receptor antagonists (антагонисты гистамин-2-рецепторов)
HADS,Hospital anxiety and depression scale (шкала тревоги и депрессии)
HAQ-DI,Health assessment questionnaire-disability index (индекс инвалидизации по опроснику оценки состояния здоровья)
HBV,Hepatitis B virus (вирус гепатита B)
HBs-Ag,Hepatitis B surface antigen (поверхностный антиген вируса гепатита B)
HBsAg,Hepatitis B surface antigen (поверхностный антиген вируса гепатита B)
HCV,Hepatitis C virus (вирус гепатита C)
HD,High dose (высокая доза)
HE,Hypoglycemic episodes (эпизоды гипогликемии)
HED,Human equivalent dose (человеческая эквивалентная доза)
HEK293,Human embryonic kidney 293 (клетки почки эмбриона человек 293)
HEPM,Human embryonic palatal mesenchyme (клеточная линия небной мезенхимы эмбриона человека)
HER2,Human epidermal growth factor receptor 2 (рецептор эпидермального фактора роста человека 2 типа)
HER2+,"HER2-positive (позитивная по HER2): опухоль, экспрессирующая рецептор HER2"
HER2-,"HER2-negative (негативная по HER2): опухоль, не экспрессирующая рецептор HER2"
HFe,High-iron diet (рацион с высоким содержанием железа)
HGF,Hepatocyte growth factor (фактор роста гепатоцитов)
HGPRT,Hypoxanthine-guanine phosphoribosyltransferase (гипоксантингуанинфосфорибозилтрансфераза)
HIF,"Hypoxia-inducible factor (фактор, индуцируемый гипоксией)"
HIF-1a,"Hypoxia-inducible factor 1-alpha (фактор, индуцируемый гипоксией 1-альфа)"
HIF-α,"Hypoxia-inducible factor alpha (фактор, индуцируемый гипоксией – альфа)"
HIV,Human immunodeficiency virus (вирус иммунодефицита человека)
HLA,Human leukocyte antigen (человеческий лейкоцитарный антиген)
HLM,Human liver microsomes (микросомы печени человека)
HOMA-B,Homeostatic model assessment of beta-cell function (гомеостатическая модель оценки функции бета-клеток)
HOMA-IR,Homeostasis model assessment of insulin resistance (индекс инсулинорезистентности)
HOMA‑IR,Homeostasis model assessment of insulin resistance (индекс инсулинорезистентности)
HPI,"Propidium iodide with hoechst (йодид пропидия в сочетании с hoechst): флуоресцентные красители, используемые для оценки жизнеспособности клеток и определения апоптоза"
HR,"Hazard ratio (отношение рисков): показатель, отражающий отношение вероятности наступления события в группе исследования к группе сравнения в определенный момент времени"
HR+,Hormone receptor-positive (гормон-рецептор-положительный)
HRV,Human rhinovirus (человеческий риновирус)
HSA,Human serum albumin (человеческий сывороточный альбумин)
HTG,Hypertriglyceridemia (гипертриглицеридемия)
HUVEC,Human umbilical vein endothelial cells (эндотелиальные клетки пупочной вены человека)
Hb,Hemoglobin (гемоглобин)
HbA1c,Glycated hemoglobin (гликированный гемоглобин)
HbsAg,Hepatitis b surface antigen (поверхностный антиген вируса гепатита b)
Hh,Hedgehog signaling pathway (сигнальный путь hedgehog)
Ht,Hematocrit (гематокрит)
IAC,Independent adjudication committee (независимый экспертный комитет)
IARC,International agency for research on cancer (международное агентство по изучению рака)
IB,Immunoblotting (вестерн-блоттинг)
IBDQ,Inflammatory bowel disease questionnaire (опросник для оценки воспалительных заболеваний кишечника)
IBE,Iron-binding equivalent (железо-связывающий эквивалент)
IC50,"Half-maximal inhibitory concentration (концентрация полумаксимального ингибирования): концентрация вещества, вызывающая 50% ингибирование биологической или биохимической активности"
ICAM-1,Intercellular adhesion molecule 1 (молекула межклеточной адгезии 1)
ICH,International council for harmonisation (международный совет по гармонизации)
ICR,Independent central review (независимая централизованная оценка)
ID,Identification code (идентификационный код)
IDE,Insulin-degrading enzyme (инсулино-деградирующий фермент)
IDF,International diabetes federation (международная диабетическая федерация)
IDV,Indinavir (индинавир)
IFN,Interferon (интерферон)
IGA,Investigator global assessment (шкала тяжести атопического дерматита)
IGF,Insulin-like growth factor (инсулиноподобный фактор роста)
IGF1,Insulin-like growth factor 1 (инсулиноподобный фактор роста 1)
IL,Interleukin (интерлейкин)
IL-6,Interleukin-6 (интерлейкин-6)-6
IMAP,Ion mobility affinity polarization (анализ поляризации флуоресценции на основе сродства ионов)
IMDC,International metastatic renal cell carcinoma database consortium (международный консорциум по лечению метастатического рака почки)
IND,Investigational new drug (исследуемый новый препарат)
INSTI,Integrase strand transfer inhibitor (ингибитор переноса цепи интегразы)
IP,Immunoprecipitation (иммунопреципитация)
IPSS-R,Revised international prognostic scoring system (пересмотренная интернациональная прогностическая шкала)
IQR,Interquartile range (межквартильный диапазон)
IR,Immediate release (немедленное высвобождение)
IRR,Incident rate ratio (коэффициент инцидентности)
ISR,Insulin secretion rate (скорость секреции инсулина)
ISR/G,Insulin secretion rate adjusted for glucose (скорость секреции инсулина с поправкой на глюкозу)
ITT,Intent-to-treat (выборка «по назначенному лечению»)
IUPAC,International union of pure and applied chemistry (международный союз теоретической и прикладной химии)
IWCLL,International workshop on chronic lymphocytic leukemia (критерии международного семинара по хроническому лимфоцитарному лейкозу)
Ig,Immunoglobulin (иммуноглобулин)
IgA,Immunoglobulin a (иммуноглобулин a)
IgG,Immunoglobulin g (иммуноглобулин g)
JAK,Janus activated kinases (янус-активированные киназы)
Jmax,"Maximum transporter-mediated flux (максимальный поток, опосредованный переносчиком)"
K-BILD,King's brief interstitial lung disease questionnaire (краткий опросник кинга по интерстициальным болезням легких)
KIT,"Receptor tyrosine kinase cd117 (рецепторная тирозин-протеинкиназа cd117): трансмембранный рецептор, принадлежащий к классу рецепторных тирозинкиназ, кодируемый протоонкогеном c-kit"
KLH,Keyhole limpet hemocyanin (гемоцианин лимфы улитки)
KRAS,"Kirsten rat sarcoma viral oncogene homolog (протоонкоген, кодирующий мембранный белок)"
Kd,"Equilibrium dissociation constant (константа равновесной диссоциации): показатель, характеризующий аффинность взаимодействия между молекулой лиганда и рецептором"
Kel,"Elimination rate constant (константа скорости элиминации лекарственного вещества): показатель, отражающий скорость выведения лекарственного вещества из организма"
Ki,"Inhibitory constant (константа ингибирования): показатель, характеризующий силу связывания ингибитора с ферментом или рецептором"
