abbreviation,description
EASI,Eczema Area and Severity Index (Индекс площади и тяжести экземы)
EC50,"Median Effective Concentration (медианная эффективная концентрация): Концентрация вещества, при которой достигается 50% от его максимального эффекта"
ECOG,Eastern Cooperative Oncology Group (Восточная объединённая онкологическая группа)
ED50,"Median Effective Dose (полуэффективная доза): Доза вещества, обеспечивающая требуемый терапевтический эффект у 50% испытуемых"
EGFR,Epidermal Growth Factor Receptor (рецептор эпидермального фактора роста)
EMA,European Medicines Agency (Европейское агентство по лекарственным средствам)
ER,Estrogen Receptor (рецептор эстрогенов)
ER,Exposure Ratio (коэффициент экспозиции/коэффициент воздействия)
ER+,Estrogen Receptor-Positive (эстроген-положительный)
F,Bioavailability (биодоступность)
F,Females (самки)
FAERS,FDA Adverse Event Reporting System (система сообщений о нежелательных явлениях FDA)
FAS,Full Analysis Set (полный набор данных для анализа)
FDA,Food and Drug Administration (Управление по санитарному надзору за качеством пищевых продуктов и медикаментов США)
FGFR,Fibroblast Growth Factor Receptor (рецептор фактора роста фибробластов)
FMO,Flavin-containing Monooxygenase (флавинсодержащая монооксигеназа)
G-CSF,Granulocyte Colony-Stimulating Factor (гранулоцитарный колониестимулирующий фактор)
GCP,Good Clinical Practice (надлежащая клиническая практика)
GLP,Good Laboratory Practice (надлежащая лабораторная практика)
GMR,Geometric Mean Ratio (отношение геометрических средних)
HBV,Hepatitis B Virus (вирус гепатита В)
HD,High Dose (высокая доза)
HEK293,Human Embryonic Kidney 293 (клетки почки эмбриона человек 293)
HER2,Human Epidermal Growth Factor Receptor 2 (рецептор эпидермального фактора роста человека 2 типа)
HER2+,"HER2-Positive (позитивная по HER2): Опухоль, экспрессирующая рецептор HER2"
HER2-,"HER2-Negative (негативная по HER2): Опухоль, не экспрессирующая рецептор HER2"
HLA,Human Leukocyte Antigen (человеческий лейкоцитарный антиген)
HOMA-B,Homeostatic Model Assessment of Beta-cell Function (гомеостатическая модель оценки функции бета-клеток)
HR,"Hazard Ratio (отношение рисков): Показатель, отражающий отношение вероятности наступления события в группе исследования к группе сравнения в определенный момент времени"
HUVEC,Human Umbilical Vein Endothelial Cells (эндотелиальные клетки пупочной вены человека)
HbA1c,Glycated Hemoglobin (гликированный гемоглобин)
HСV,Hepatitis C Virus (вирус гепатита C)
IC50,"Half-maximal Inhibitory Concentration (концентрация полумаксимального ингибирования): Концентрация вещества, вызывающая 50% ингибирование биологической или биохимической активности"
ICAM-1,Intercellular Adhesion Molecule 1 (молекула межклеточной адгезии 1)
ICH,International Council for Harmonisation (Международный совет по гармонизации)
IL,Interleukin (интерлейкин)
IP,Immunoprecipitation (иммунопреципитация)
IQR,Interquartile Range (межквартильный диапазон)
ITT,Intent-to-Treat (выборка «по назначенному лечению»)
Ig,Immunoglobulin (иммуноглобулин)
Ki,"Inhibitory Constant (константа ингибирования): Показатель, характеризующий силу связывания ингибитора с ферментом или рецептором"
LD50,"Median Lethal Dose (медианная летальная доза): Доза вещества, вызывающая гибель 50% экспериментальной популяции"
LLOQ,Lower Limit of Quantitation (нижний предел количественного определения)
LOAEL,"Lowest Observed Adverse Effect Level (наименьшая доза, оказывающая видимый нежелательный эффект)"
LOCF,Last Observation Carried Forward (использование последнего доступного наблюдения)
LOEL,"Lowest Observed Effect Level (наименьшая доза, оказывающая видимый эффект)"
LPV/r,Lopinavir/ritonavir (лопинавир/ритонавир)
M,Mean (среднее арифметическое)
M,Males (самцы)
MACE,Major Adverse Cardiovascular Event (тяжелые неблагоприятные сердечно-сосудистые события)
MAPK,Mitogen-Activated Protein Kinase (митоген-активируемая протеинкиназа)
MATE,Multi-Antimicrobial Extrusion Protein (белок экструзии лекарственных препаратов и токсинов)
MDR,Multidrug Resistance (множественная лекарственная устойчивость)
MDRD,Modification of Diet in Renal Disease (модификация диеты при заболеваниях почек)
MF,"Marketed Form (вариант препарата, реализуемый на рынке)"
MF,Matrix Factor (матричный фактор)
MLR,Mixed Lymphocyte Reaction (реакция смешивания лимфоцитов)
MNLD,"Maximum Non-Lethal Dose (максимальная нелетальная доза): Наивысшая доза вещества, не вызывающая гибель исследуемой популяции"
MRHD,Maximum Recommended Human Dose (максимальная рекомендуемая доза для человека)
MRP,"Multidrug Resistance-Associated Protein (протеин, связанный с множественной лекарственной устойчивостью)"
MRT,Mean Residence Time (среднее время пребывания в организме молекулы лекарственного вещества)
MTD,Maximum Tolerated Dose (максимальная переносимая доза)
MedDRA,Medical Dictionary for Regulatory Activities (медицинский словарь терминов для регуляторной деятельности)
NCI,National Cancer Institute (Национальный институт рака)
NHS,Normal Human Serum (нормальная человеческая сыворотка)
NK,Natural Killer (естественные киллеры)
NOAEL,"No Observed Adverse Effect Level (максимальная доза, не оказывающая видимого нежелательного эффекта)"
NOEL,"No Observed Effect Level (максимальная доза, не приводящая к развитию видимого эффекта)"
NT-proBNP,N-terminal Pro-Brain Natriuretic Peptide (N-терминальный фрагмент предшественника мозгового натрийуретического пептида)
NYHA,New York Heart Association (Нью-Йоркская кардиологическая ассоциация)
OAT,Organic Anion Transporter (транспортер органических анионов)
OATP,Organic Anion Transporting Polypeptide (полипептидный переносчик органических анионов)
OCT,Organic Cation Transporter (транспортер органических катионов)
P-gp,P-glycoprotein (P-гликопротеин)
PBMC,Peripheral Blood Mononuclear Cells (мононуклеарные клетки периферической крови)
PBPK,Physiologically Based Pharmacokinetic Modeling (физиологически обоснованное фармакокинетическое моделирование)
PDGFR,Platelet-Derived Growth Factor Receptor (рецептор тромбоцитарного фактора роста)
PP,Per Protocol (популяция по протоколу)
PT,Preferred Term (Термин предпочтительного употребления)
PXR,Pregnane X Receptor (прегнан-X-рецептор)
Pgp,P-гликопротеин
Pgp,Protein gen product/белковый гликопротеин
QT,"QRS to T Wave Interval (расстояние от начала комплекса QRS до конца зубца T): Интервал на электрокардиограмме, отражающий время реполяризации желудочков сердца"
QTcF,"Corrected QT Interval (QT-интервал, скорректированный по формуле Fredericia)"
RAV,"Resistance-Associated Variant (вариант, ассоциированный с резистентностью)"
RECIST,Response Evaluation Criteria in Solid Tumors (критерии оценки ответа при солидных опухолях)
RR,"Relative Risk (относительный риск): Показатель, характеризующий вероятность наступления события в исследуемой группе по сравнению с контрольной"
RR,"Risk Ratio (отношение рисков): Показатель, отражающий соотношение частоты событий в исследуемой группе к группе сравнения"
RR,Отношение рисков/ отношение долей (risk ratio/ rate ratio)
RT,Reverse Transcriptase (обратная транскриптаза)
Rac, Accumulation Ratio (коэффициент накопления)
SD,Sprague Dawley (спрег-доули): Линия лабораторных крыс-альбиносов
SD,Standard Deviation (стандартное отклонение): Показатель разброса значений относительно среднего
SEM,"Standard Error of Mean (стандартная ошибка среднего): Показатель, отражающий точность оценки среднего значения в выборке"
SGLT2,Sodium-Glucose Cotransporter-2 (натрий-глюкозный котранспортер 2-го типа)
SOC,System Organ Class (системно-органный класс)
STAT,Signal Transducer and Activator of Transcription (передатчик сигнала и активатор транскрипции)
T1/2,"Half-life (период полувыведения): Время, за которое концентрация вещества в плазме крови уменьшается на 50%"
TAF,Tenofovir Alafenamide Fumarate (Тенофовира алафенамида фумарат)
TDF,Tenofovir Disoproxil Fumarate (тенофовира дизопроксил фумарат)
TGI,Tumor Growth Inhibition (ингибирование роста опухоли)
TKI,Tyrosine Kinase Inhibitor (ингибитор тирозинкиназы)
TNF,Tumor Necrosis Factor (фактор некроза опухоли)
Tmax,"Time to Maximum Concentration (время достижения максимальной концентрации): Время, за которое достигается максимальная концентрация лекарственного вещества в плазме крови"
UGT,Uridine Diphosphate Glucuronosyltransferase (уридиндифосфат-глюкуронилтрансфераза)
UGT1A1,Uridine Diphosphate Glucuronosyltransferase 1A1 (уридиндифосфат-глюкуронилтрансфераза 1A1)
V/F,"Apparent Volume of Distribution (кажущийся объем распределения): Гипотетический объем, в котором лекарственное вещество распределяется после внесосудистого введения"
VEGF,Vascular Endothelial Growth Factor (фактор роста эндотелия сосудов)
VEGFR,Vascular Endothelial Growth Factor Receptor (рецептор фактора роста эндотелия сосудов)
Vc/F,Apparent Central Volume of Distribution (кажущийся объем распределения в центральном компартменте): Объем распределения лекарственного вещества в центральном компартменте после внесосудистого введения
Vd,"Volume of Distribution (объем распределения): Гипотетический объем жидкости, в котором лекарственное вещество распределяется с концентрацией, эквивалентной концентрации в плазме"
Vdss,Steady-State Volume of Distribution (объем распределения в равновесном состоянии): Объем распределения вещества в организме при достижении равновесного состояния
Vss,Steady-State Volume of Distribution (объем распределения в равновесном состоянии): Объем распределения вещества в организме при достижении равновесного состояния
eGFR,Estimated Glomerular Filtration Rate (рассчитанная скорость клубочковой фильтрации)
fu,"Fraction Unbound (несвязанная фракция): Доля лекарственного вещества в плазме, не связанная с белками"
hERG,Human Ether-à-go-go-Related Gene (ген специфических калиевых каналов сердца человека)
mTOR,Mammalian Target of Rapamycin (мишень рапамицина у млекопитающих)
mTSS,Modified Total Sharp Score (модифицированная оценка Шарпа)
t1/2,Half-life (период полувыведения)
ААТ,Антиандрогенная терапия
ААТ,Антитромбоцитарные антитела
АВК,Антагонист витамина К
АГ,Артериальная гипертензия
АД,Артериальное давление
АД,Атопический дерматит
АДФ,Аденозиндифосфорная кислота
АЛТ,Аланинаминотрансфераза
АМР,Антагонист минералокортикоидного рецептора
АО,Акционерное общество
АСТ,Аспартатаминотрансфераза
АТФ,Аденозинтрифосфорная кислота
АТХ,Анатомо-терапевтическо-химическая классификация
БАК,Биохимический анализ крови
БРА,Блокатор рецептора ангиотензина
БЭ,Биоэквивалентность
ВБМ,Выживаемость без метастазирования
ВБП,Выживаемость без прогрессирования
ВГВ,Вирус гепатита В
ВГВ,Вирусный гепатит В
ВГС,Вирус гепатита С
ВГС,Вирусный гепатит С
ВИЧ,Вирус иммунодефицита человека
ВН,Вирусная нагрузка
ВН,Вирусологическая неэффективность
ВОЗ,Всемирная организация здравоохранения
ВТЭ,Венозная тромбоэмболия
ВЭЖК,Высокоэффективная жидкостная хроматография
ВЭЖХ-МС/МС,Высокоэффективная жидкостная хроматография с тандемной масс-спектрометрией
ГГТ,Гамма-глутамилтрансфераза
ГИП,Глюкозозависимый инсулинотропный пептид
ГИТ,Гепарин-индуцированная тромбоцитопения
ГК,Глюкокортикостероиды
ГК,Группа компаний
ГК,Крысы линии Гото-Какизаки
ГМГ-КоА,3-гидрокси-3-метилглутарил-коэнзим А (ГМГ-КоА)
ГПН,Глюкоза плазмы натощак
ГПП,Глюкагоноподобный пептид
ГПП-1,Глюкагоноподобный пептид-1
ГПТ,Глутамат-пируват-трансаминаза
ДДКР,Департамент доклинической и клинической разработки
ДИ,Доверительный интервал
ЕС,Европейский Союз
ЖСС,Жидкостный сцинтилляционный счетчик
ЖХ-МС,Жидкостная хроматография с масс-спектрометрией
ЖХ-МС/МС,Жидкостная хроматография с тандемной масс-спектрометрией
ИА,Ингибитор ароматазы
ИБЛ,Интерстициальная болезнь легких
ИЗЛ,Интерстициальное заболевание легких
ИИ,Ингибитор интегразы
ИМП,Инструкция по медицинскому применению
ИМП,Инфекция мочевыводящих путей
ИП,Ингибитор протеазы
ИП,Истинная полицитемия
ИПП,Ингибитор протонной помпы
ИР,Инсулиновый рецептор
ИР,Инсулинорезистентность
ИС,Ингибитор слияния
ИС,Информированное согласие
ИТК,Ингибитор тирозинкиназы
ИФА,Иммуноферментный анализ
КИ,Клиническое исследование
КК,Клиренс креатинина
КК,Контроль качества
КСО,Классификация систем органов
ЛВ,Лекарственное взаимодействие
ЛГРГ,Лютеинизирующий гормон рилизинг-гормон
ЛД50,"Медианная летальная доза: Доза вещества, вызывающая гибель 50% экспериментальной популяции"
ЛДГ,Лактатдегидрогеназа
ЛПВП,Липопротеины высокой плотности
ЛПНП,Липопротеины низкой плотности
МДС,Миелодиспластический синдром
МКД,Межквартильный диапазон
МНН,Международное непатентованное наименование
МПД,Максимальная переносимая доза
МРДЧ,максимальная рекомендуемая доза для человека
НАДФ,Никотинамидадениндинуклеотидфосфат
НГЛТ-2,Натрий-глюкозный котранспортер 2 типа
НГН,Нарушенная гликемия натощак
НГН,Нижняя граница нормы
НД,Нет данных
НД,Нормативная документация
НИОТ,Нуклеозидный ингибитор обратной транскриптазы
НЛР,Нежелательная лекарственная реакция
НМГ,Низкомолекулярный гепарин
НМРЛ,Немелкоклеточный рак легкого
ННИОТ,Ненуклеозидный ингибитор обратной транскриптазы
НП,Не применимо
НПВП,Нестероидный противовоспалительный препарат
НР,Нежелательная реакция
НТГ,Нарушенная толерантность к глюкозе
НЯ,Нежелательное явление
НЯФЛ,"Нежелательное явление, возникшее на фоне лечения"
ОМЛ,Острый миелоидный лейкоз
ОП,Опытно-промышленный
ОР,Относительный риск
ОР,Отношение рисков
ОРВИ,Острая респираторная вирусная инфекция
ОХЛП,Общая характеристика лекарственного препарата
ПВ,Протромбиновое время
ПКР,Плоскоклеточный рак
ПКР,Почечно-клеточная карцинома
ПКР,Почечно-клеточный рак
ПО,Полный ответ
ПО,Программное обеспечение
ПСА,План статистического анализа
ПСА,Простатспецифический антиген 
ПЦР,Полимеразная цепная реакция
РВРК,Физиологически обоснованное фармакокинетическое моделирование
РКИ,Рандомизированное клиническое исследование
РП,Рак простаты
РП,Резекция почки
РФ,Ревматоидный фактор
РФ,Российская федерация
САД,Систолическое артериальное давление
САД,Среднее артериальное давление
СД2,Сахарный диабет 2 типа
СМ,Системный мастоцитоз
СМ,Сульфонилмочевина
СНР,Серьезная нежелательная реакция
СНЯ,Серьезное нежелательное явление
СО,Стандартное отклонение
СОК,Системно-органный класс
СОП,Стандартная операционная процедура
СПИД,Синдром приобретенного иммунодефицита
ССС,Сердечно-сосудистая система
ССС,Сердечно-сосудистая смертность
США,Соединенные штаты америки
ТК,Тирозинкиназа
ТК,Тучная клетка
ТСКК,Трансплантация стволовых клеток
ТСКР,Тест сравнительной кинетики растворения
УГТ,Уридиндифосфат-глюкуронозилтрансфераза
ФВЛЖ,Фракция выброса левого желудочка
ФД,Фармакодинамика
ФЖЕЛ,Форсированная жизненная емкость легких
ФИО,Фамилия имя отчество
ФК,Фармакокинетика
ФК,Функциональный класс
ХМЛ,Хронический миелоидный лейкоз
ХСН,Хроническая сердечная недостаточность
ХСНнФВ,Хроническая сердечная недостаточность со снижением фракции выброса левого желудочка
ХТ,Хелаторная терапия
ХТ,Химиотерапия
ЦНС,Центральная нервная система
ЧКВ,Чрезкожное коронарное вмешательство
ЧОО,Частота общего ответа
ЧОО,Частота объективного ответа
ЩФ,Щелочная фосфатаза
ЭКГ,Электрокардиограмма/электрокардиографическое исследование
ЯМР,Ядерно-магнитный резонанс
в/в,Внутривенно
иАПФ,Ингибитор ангиотензин-превращающего фермента
кДНК,Комплементарная дезоксирибонуклеиновая кислота
мкМ,Микромоль
рВБП,Рентгенологически подтвержденная выживаемость без прогрессирования
сБМАРП,Синтетические болезнь-модифицирующие антиревматические препараты
тсБМАРП,Таргетные синтетические болезнь-модифицирующие антиревматические препараты
