abbreviation,description
Amax,Maximum Activity (максимальная активность): максимальная активность препарата против определенного фактора
Apo,Apolipoprotein (аполипопротеин)
ApoE,Apolipoprotein E (аполипопротеин e)
BA,Bioavailability (биодоступность)
BCLC,Barcelona Clinic Liver Cancer (барселонская система стадирования печеночно-клеточного рака)
BCOP,Bovine Corneal Opacity and Permeability test (анализ прозрачности/непрозрачности бычьей роговицы)
BCR,B Cell Receptor (в-клеточный рецептор)
BCR,"Breakpoint Cluster Region (область кластерного разрыва): участок днк, кодирующий одноименный белок"
BCR-ABL,"Breakpoint Cluster Region-Abelson (кластерный регион точечного разрыва абельсона): белок, ассоциированный с хроническим миелоидным лейкозом"
BCR-Abl,"Breakpoint Cluster Region-Abelson (кластерный регион точечного разрыва абельсона): белок, ассоциированный с хроническим миелоидным лейкозом"
BCRP,Breast Cancer Resistance Protein (белок резистентности рака молочной железы)
BCS,Biopharmaceutics Classification System (биофармацевтическая классификационная система)
BDC,Bile Duct Cannulation (канюлированный желчный проток)
BIBF 1202,Метаболит нинтеданиба 
BIC,Bictegravir (биктегравир)
BIC/B,"Bictegravir/Booster (биктегравир, бустированный препаратом)"
BIC/FTC/TAF,Bictegravir/emtricitabine/Tenofovir Alafenamide (биктегравир/эмтрицитабин/тенофовир алафенамид)
BICR,Blinded Independent Central Review (независимая централизованная оценка в слепом режиме)
BIKE,"Bmp-2 Inducible Kinase (киназа, индуцируемая bmp-2)"
BLC,Basophilic Leukemia Cells (клетки базофильного лейкоза)
BMMC,Bone Marrow-derived Mast Cells (тучные клетки костного мозга мышей)
BNP,B-type Natriuretic Peptide (натрийуретический пептид b-типа)
BONF,Brain-derived Neurotrophic Factor (нейротрофический фактор из тканей мозга)
BOV,"Between-Occasion Variability (дисперсия между событиями): фармакокинетический параметр, отражающий изменчивость между разными введениями препарата"
BPAR,Biopsy-Proven Acute Rejection (подтвержденные биопсией эпизоды острого отторжения)
BPI,Brief Pain Inventory (краткий опросник оценки боли)
BR,Bendamustine with Rituximab (бендамустин в комбинации с ритуксимабом)
BRAF,"B-Raf proto-oncogene, serine/threonine kinase (серин/треониновая протеинкиназа b-raf)"
BRCA,Breast Cancer gene (ген рака молочной железы)
BSA,Body Surface Area (площадь поверхности тела)
BSC,Best Supportive Care (наилучшая поддерживающая терапия)
BSEP,Bile Salt Export Pump (белок-переносчик солей желчных кислот)
BSV,Between-Subject Variability (межсубъектная вариабельность)
BTK,Bruton’s Tyrosine Kinase (тирозинкиназа брутона)
BUN,Blood Urea Nitrogen (азот мочевины в крови)
BVDV,Bovine Viral Diarrhea Virus (вирус диареи крупного рогатого скота)
BZD,Benzodiazepines (бензодиазепины)
Bridge-терапия,"Bridge therapy (терапия «ожидания»): неоадъювантное или иное противоопухолевое лечение для пациентов, ожидающих трансплантацию печени"
C0,Initial drug Concentration (начальная концентрация лекарственного препарата в крови)
C24,Concentration at 24 hours (концентрация через 24 часа после приема лекарственного вещества)
CACO-2,Caco-2 (иммортализованная клеточная линия колоректальной аденокарциномы человека)
CART,"Cocaine- And amphetamine-Regulated Transcript (пептид, происходящий из регулируемого кокаином и амфетамином транскрипта)"
CC50,"50% Cytotoxic Concentration (средняя цитотоксическая концентрация): концентрация вещества, при которой гибнет 50% клеток в эксперименте"
CCK1,Cholecystokinin receptor 1 (рецептор холецистокинина a)
CCL19,Cc motif Chemokine Ligand 19 (лиганд 19 хемокина с мотивом cc)
CCR5,C-C chemokine Receptor 5 (c-c-рецептор хемокина 5)
CD,Cluster of Differentiation (кластер дифференцировки)
CD (SD),Sprague Dawley (спрег-доули): линия лабораторных крыс-альбиносов
CD (SD) BR,"Sprague-Dawley Rats, Barrier raised (лабораторные крысы спрег-доули, выращенные в условиях барьера)"
CDAI,Clinical Disease Activity Index (индекс клинической активности заболевания)
CDK,Cyclin-Dependent Kinase (циклин-зависимая киназа)
CDK4,Cyclin-Dependent Kinase 4 (циклин-зависимая киназа 4)
CDK6,Cyclin-Dependent Kinase 6 (циклин-зависимая киназа 6)
CEF,Composite Endpoint of Failure (первичная комбинированная конечная точка неэффективности)
CES,Carboxylesterase (карбоксилэстераза)
CES1,Carboxylesterase 1 (карбоксилэстераза 1)
CHADS2,"Congestive Heart failure, hypertension, Age, Diabetes, Stroke (шкала оценки риска инсульта у пациентов с фибрилляцией предсердий)"
CHAQ,Children's Health Assessment Questionnaire (опросник оценки здоровья детей)
CHMP,Committee for Medicinal Products for Human use (комитет по лекарственным средствам для медицинского применения)
CHO,Chinese Hamster Ovary (клетки яичников китайского хомяка)
CKD-EPI,Chronic Kidney Disease Epidemiology collaboration (формула расчета скорости клубочковой фильтрации)
CL,"Clearance (клиренс): показатель, характеризующий скорость выведения лекарственного вещества из плазмы крови"
CL/F,"Apparent Clearance (кажущийся клиренс): общий клиренс лекарственного вещества после внесосудистого введения, учитывающий биодоступность (f)"
CLCR,Creatinine Clearance (клиренс креатинина)
CLL,Chronic Lymphocytic Leukemia (хронический лимфолейкоз)
CLNR,Non-Renal Clearance (внепочечный клиренс)
CLR,Renal Clearance (почечный клиренс)
CLp,Plasma Clearance (плазменный клиренс)
CLu,Unbound Clearance (собственный клиренс): клиренс несвязанной (свободной) фракции препарата
CNP,C-type Natriuretic Peptide (натрийуретический пептид c-типа)
CO2,"Carbon dioxide (углекислый газ, оксид углерода iv)"
COBI,Cobicistat (кобицистат)
COVID-19,Coronavirus Disease 2019 (коронавирусная инфекция 2019 года)
CP,Cyclophosphamide (циклофосфамид)
CP-690550,Лабораторный шифр тофацитиниба 
CP-690550-10,"CP-690550 в форме водной суспензии в носителе, состоящем из 5% метилцеллюлозы и 0,025% твин-80 "
CPAP,Continuous Positive Airway Pressure (терапия постоянным положительным давлением в дыхательных путях)
CPMP,Committee for Proprietary Medicinal Products (комитет по лекарственным средствам)
CR,Controlled Release (контролируемое высвобождение)
CRC,Concentration-Response Curve (кривая концентрация-ответ)
CRF,Circulating Recombinant Forms (циркулирующие рекомбинантные формы)
CSF1R,Colony Stimulating Factor 1 Receptor (рецептор колониестимулирующего фактора 1)
CTCAE,Common Terminology Criteria for Adverse Events (общие критерии оценки степени тяжести нежелательных явлений)
CTEPH,Chronic Thromboembolic Pulmonary Hypertension (хроническая тромбоэмболическая легочная гипертензия)
CTLA-4,Cytotoxic T-Lymphocyte-Associated antigen 4 (антиген 4 цитотоксических t-лимфоцитов)
CV,"Coefficient of Variation (коэффициент вариации): статистическая мера относительной изменчивости данных, выраженная в процентах"
CVOT,Cardiovascular Outcome Trial (исследование сердечно-сосудистых исходов)
CVintra,Intraindividual Variability (внутрииндивидуальная вариабельность): мера изменчивости показателей у одного и того же индивида
CYP,Cytochrome p450 (цитохром p450)
CYP450,Cytochrome p450 (цитохром p450)
CaMK2d,Calcium/calmodulin-Dependent protein Kinase ii delta (кальций/кальмодулин-зависимая протеинкиназа δ)
CaMK2g,Calcium/calmodulin-dependent protein Kinase ii Gamma (кальций/кальмодулин-зависимая протеинкиназа γ)
CaMKII,Calmodulin-dependent protein Kinase Ii (кальмодулин-зависимая протеинкиназа ii)
Cav,Average Concentration (средняя концентрация)
Ceff,Effective Concentration (фармакологически эффективная концентрация)
Child – Pugh,Child-Pugh classification (классификация чайлда-пью): метод оценки тяжести цирроза печени и прогнозирования выживаемости пациента на основе клинических и лабораторных показателей
Child–Pugh,Child-Pugh classification (классификация чайлда-пью): метод оценки тяжести цирроза печени и прогнозирования выживаемости пациента на основе клинических и лабораторных показателей
Cl,"Clearance (клиренс): показатель, характеризующий скорость выведения лекарственного вещества из плазмы крови"
Cl/F,"Apparent Clearance (кажущийся клиренс): общий клиренс лекарственного вещества после внесосудистого введения, учитывающий биодоступность (f)"
Clast,Last measurable Concentration (последняя ненулевая концентрация)
ClinicalTrials.gov Identifier,Clinicaltrials.Gov Identifier (идентификатор исследования на сайте clinicaltrials.gov)
Clt,"Total Clearance (общий клиренс препарата): показатель, характеризующий скорость выведения лекарственного вещества из плазмы крови"
Cmax,"Maximum Concentration (максимальная концентрация): наибольшая концентрация лекарственного вещества, достигаемая в плазме крови"
Cmaxss,"Maximum Steady-State Concentration (максимальная концентрация в равновесном состоянии): наибольшая концентрация лекарственного вещества, достигаемая в плазме в течение дозировочного интервала при установившемся равновесии"
Cmin,Minimum Concentration (минимальная концентрация): наименьшая наблюдаемая концентрация лекарственного вещества в плазме крови
Covid-19,Coronavirus Disease 2019 (коронавирусная инфекция 2019 года)
CrCl,Creatinine Clearance (клиренс креатинина)
CsA,Cyclosporine A (циклоспорин а)
Ctrough,Trough Concentration (концентрация перед очередным введением)
"Ctrough,ss",Rough Concentration at Steady State (концентрация лекарственного вещества в плазме в стационарном состоянии)
Cys,Cysteine (цистеин)
CРБ,C-реактивный белок 
DAS28-4(СОЭ),"Disease Activity Score 28 with 4 variables (четыре переменные для 28 суставов по шкале активности заболевания), включая скорость оседания эритроцитов"
DAS28-hsCRP,Disease Activity Score 28 with High-Sensitivity C-Reactive Protein (показатель активности заболевания в 28 суставах с помощью высокочувствительного анализа с-реактивного белка)
DAT,Dopamine Transporter (переносчик дофамина)
DCV,Daclatasvir (даклатасвир)
DDW,Distilled Deionized Water (дистиллированная деионизированная вода)
DEX,Deferasirox (деферазирокс)
DFN,Deferiprone (деферипрон)
DFO,Deferoxamine (дефероксамин)
DICER1,Dicer1 gene (ген dicer1)
DIRKO,Double Incretin Receptor Knockout mice (линия мышей нокаутных по генам рецепторов гормонов-инкретинов)
DL0,"Maximum non-Lethal Dose (максимальная нелетальная доза): высшая доза вещества, не вызывающая летального исхода"
DLCO,Diffusing Capacity for carbon monoxide (диффузионная способность легких по монооксиду углерода)
DLQI,Dermatology Life Quality Index (дерматологический индекс качества жизни)
DLV,Delavirdine (делавирдин)
DNA,Deoxyribonucleic Acid (дезоксирибонуклеиновая кислота)
DOR,Doravirine (доравирин)
DP,Diphosphate (дифосфат)
DPP,Dipeptidyl Peptidase (дипептидил-пептидаза)
DPP-IV,Dipeptidyl Peptidase-4 Inhibitor (ингибитор дипептидилпептидазы-4)
DRESS,Drug Reaction with Eosinophilia and Systemic Symptoms (лекарственная реакция с эозинофилией и системными проявлениями)
DRV,Darunavir (дарунавир)
DRV/r,Darunavir/Ritonavir (дарунавир/ритонавир)
DSS,Dahl Salt-Sensitive rat (перегруженные солью крысы dahl)
DTG,Dolutegravir (долутегравир)
DTSQ,Diabetes Treatment Satisfaction Questionnaire (опросник удовлетворенности от лечения диабета)
Dx+,Diagnostic-positive (диагностированный)
Dx-,Diagnostic-negative (недиагностированный)
EAC,Event Adjudication Committee (комитет по оценке нежелательных явлений)
EACS,European Aids Clinical Society (европейское клиническое общество по спиду)
EASD,European Association for the Study of Diabetes (европейская ассоциация по изучению сахарного диабета)
EASI,Eczema Area and Severity Index (индекс площади и тяжести экземы)
EBSS,Earle'S Balanced Salt solution (сбалансированный солевой раствор эрла)
EC50,"Median Effective Concentration (медианная эффективная концентрация): концентрация вещества, при которой достигается 50% от его максимального эффекта"
ECE,Endothelin Converting Enzyme (эндотелин-превращающий фермент)
ECOG,Eastern Cooperative Oncology Group (восточная объединённая онкологическая группа)
ED50,"Median Effective Dose (полуэффективная доза): доза вещества, обеспечивающая требуемый терапевтический эффект у 50% испытуемых"
EFS,Event-Free Survival (бессобытийная выживаемость)
EFV,Efavirenz (эфавиренз)
EGFR,Epidermal Growth Factor Receptor (рецептор эпидермального фактора роста)
EMA,European Medicines Agency (европейское агентство по лекарственным средствам)
ENF,Enfuvirtide (энфувиртид)
EORTC,European Organisation for Research and Treatment of Cancer (европейская организация по исследованию и лечению рака)
EPC,Established Pharmacologic Class (установленный фармакологический класс)
EQ-5D,European Quality of life 5-Domain scale (европейская шкала оценки качества жизни по пяти аспектам)
EQ5D,European Quality of life 5-Domain scale (европейская шкала оценки качества жизни по пяти аспектам)
ER,Estrogen Receptor (рецептор эстрогенов)
ER,Exposure Ratio (коэффициент экспозиции/коэффициент воздействия)
ER+,Estrogen Receptor-positive (эстроген-положительный)
ER-,"Estrogen Receptor-negative (негативная по рецептору эстрогена): опухоль, не экспрессирующая рецепторы эстрогена"
ERAUC,"Exposure Ratio based on Auc (коэффициент экспозиции, основанный на auc)"
ERK,"Extracellular signal-Regulated Kinase (киназа, регулируемая внеклеточными сигналами)"
ESI,Electrospray Ionization (источник ионизации электрораспылением)
ESMO,European Society for Medical Oncology (европейское общество медицинской онкологии)
ESV,Elsulfavirine (элсульфавирин)
ETR,Etravirine (этравирин)
EULAR,European League Against Rheumatism (критерии ревматоидного артрита европейской антиревматической лиги)
EVG,Elvitegravir (элвитегравир)
EVG/c,"Elvitegravir/Cobicistat (элвитегравир, бустированный кобицистатом)"
F,Bioavailability (биодоступность)
F,Females (самки)
FACIT-F,Functional Assessment of Chronic Illness Therapy – Fatigue (опросник для оценки функционального состояния при хронических заболеваниях – подшкала усталости)
FACT-P,Functional Assessment of Cancer Therapy – Prostate (шкала функциональной оценки противораковой терапии – рак предстательной железы)
FAERS,Fda Adverse Event Reporting System (система сообщений о нежелательных явлениях fda)
FAS,Full Analysis Set (полный набор данных для анализа)
FBS,Fetal Bovine Serum (фетальная бычья сыворотка)
FDA,Food And Drug administration (управление по санитарному надзору за качеством пищевых продуктов и медикаментов сша)
FDC,Fixed-Dose Combination (комбинация фиксированных доз)
FGFR,Fibroblast Growth Factor Receptor (рецептор фактора роста фибробластов)
FIH,Factor Inhibiting Hypoxia-inducible factor (фактор ингибирования гипоксия-индуцируемого фактора)
FIP1L1,"Factor Interacting with Poly (a) polymerase l1 (фактор, взаимодействующий с поли(а)-полимеразой l1)"
FKB-12,Fk-Binding protein 12 (fk-связывающий белок 12)
FLT3LG,"Feline mcdonough sarcoma-Like Tyrosine kinase 3 Ligand (лиганд тирозинкиназы 3, родственный тирозинкиназе fms)"
FMI,"Final Marketed Item (окончательный вариант, предназначенный для обращения на рынке)"
FMO,Flavin-containing Monooxygenase (флавинсодержащая монооксигеназа)
FMO3,"Flavin-containing Monooxygenase 3 (мутация, ассоциированная с триметиламинурией)"
FOLFIRI,"Fluorouracil, Leucovorin, Irinotecan (фторурацил, лейковорин, иринотекан)"
FOLFOX,"Fluorouracil, Leucovorin, Oxaliplatin (фторурацил, лейковорин, оксалиплатин)"
FPD,Fine Particle Diameter (диаметр мелкодисперсных частиц)
FPV/r,Fosamprenavir/Ritonavir (фосампренавир/ритонавир)
FTC,Emtricitabine (эмтрицитабин)
FTC/F,Emtricitabine/Fumarate (эмтрицитабин/фумарат)
Fe (0-t),"Fraction of dose Excreted in urine (доля от введенной дозы вещества, экскретируемой с мочой в течение t часов после введения)"
Flt-3,Feline mcdonough sarcoma-Like Tyrosine kinase 3 (fms-подобная протеинтирозинкиназа)
Frel,Relative bioavailability (относительная биодоступность)
G-CSF,Granulocyte Colony-Stimulating Factor (гранулоцитарный колониестимулирующий фактор)
GAK,G-Associated Kinase (g-ассоциированная киназа)
GAS6 (AXL),"Growth Arrest-Specific 6 (витамин k-зависимый белок, активирующий рецепторную тирозинкиназу axl)"
GCP,Good Clinical Practice (надлежащая клиническая практика)
GD,Gestational Day (день гестации)
GINA,Global Initiative for Asthma (глобальная инициатива по бронхиальной астме)
GIP,Gastric Inhibitory Polypeptide (желудочный ингибитор полипептида)
GLDH,Glutamate Dehydrogenase (глутаматдегидрогеназа)
GLE,Glecaprevir (глекапревир)
GLI,"Glioma-associated oncogene (онкоген, ассоциированный с глиомой)"
GLP,Good Laboratory Practice (надлежащая лабораторная практика)
GLP-1R,Glucagon-Like Peptide-1 Receptor (рецептор к глюкагоноподобному пептиду-1)
GLUT,Glucose Transporter (глюкозный транспортер)
GM,Geometric Mean (геометрическое среднее)
GMR,Geometric Mean Ratio (отношение геометрических средних)
GP,Glycoprotein (гликопротеин)
GSS,Genotypic Susceptibility Score (оценка генотипической восприимчивости)
GST,Glutathione S-Transferase (глутатион-s-трансфераза)
GT,Genotype (генотип)
Glu,Glutamic acid (глутаминовая кислота)
GlyT1,Glycine Transporter 1 (глицин-1 переносчик)
Gmean,Geometric Mean (геометрическое среднее)
H2RA,Histamine-2 Receptor Antagonists (антагонисты гистамин-2-рецепторов)
HADS,Hospital Anxiety and Depression Scale (шкала тревоги и депрессии)
HAQ-DI,Health Assessment Questionnaire-Disability Index (индекс инвалидизации по опроснику оценки состояния здоровья)
HBV,Hepatitis B Virus (вирус гепатита B)
HBs-Ag,Hepatitis B Surface Antigen (поверхностный антиген вируса гепатита B)
HBsAg,Hepatitis B Surface Antigen (поверхностный антиген вируса гепатита B)
HCV,Hepatitis C Virus (вирус гепатита C)
HD,High Dose (высокая доза)
HE,Hypoglycemic Episodes (эпизоды гипогликемии)
HED,Human Equivalent Dose (человеческая эквивалентная доза)
HEK293,Human Embryonic Kidney 293 (клетки почки эмбриона человек 293)
HEPM,Human Embryonic Palatal Mesenchyme (клеточная линия небной мезенхимы эмбриона человека)
HER2,Human Epidermal growth factor Receptor 2 (рецептор эпидермального фактора роста человека 2 типа)
HER2+,"HER2-positive (позитивная по HER2): опухоль, экспрессирующая рецептор HER2"
HER2-,"HER2-negative (негативная по HER2): опухоль, не экспрессирующая рецептор HER2"
HFe,High-iron diet (рацион с высоким содержанием железа)
HGF,Hepatocyte Growth Factor (фактор роста гепатоцитов)
HGPRT,Hypoxanthine-Guanine Phosphoribosyltransferase (гипоксантингуанинфосфорибозилтрансфераза)
HIF,"Hypoxia-Inducible Factor (фактор, индуцируемый гипоксией)"
HIF-1a,"Hypoxia-Inducible Factor 1-Alpha (фактор, индуцируемый гипоксией 1-альфа)"
HIF-α,"Hypoxia-Inducible Factor alpha (фактор, индуцируемый гипоксией – альфа)"
HIV,Human Immunodeficiency Virus (вирус иммунодефицита человека)
HLA,Human Leukocyte Antigen (человеческий лейкоцитарный антиген)
HLM,Human Liver Microsomes (микросомы печени человека)
HOMA-B,Homeostatic Model Assessment Of Beta-cell function (гомеостатическая модель оценки функции бета-клеток)
HOMA-IR,Homeostasis Model Assessment Of Insulin Resistance (индекс инсулинорезистентности)
HOMA‑IR,Homeostasis Model Assessment Of Insulin Resistance (индекс инсулинорезистентности)
HPI,"Propidium Iodide with Hoechst (йодид пропидия в сочетании с hoechst): флуоресцентные красители, используемые для оценки жизнеспособности клеток и определения апоптоза"
HR,"Hazard Ratio (отношение рисков): показатель, отражающий отношение вероятности наступления события в группе исследования к группе сравнения в определенный момент времени"
HR+,Hormone Receptor-positive (гормон-рецептор-положительный)
HRV,Human Rhinovirus (человеческий риновирус)
HSA,Human Serum Albumin (человеческий сывороточный альбумин)
HTG,Hypertriglyceridemia (гипертриглицеридемия)
HUVEC,Human Umbilical Vein Endothelial Cells (эндотелиальные клетки пупочной вены человека)
Hb,Hemoglobin (гемоглобин)
HbA1c,Glycated Hemoglobin (гликированный гемоглобин)
HbsAg,Hepatitis B Surface Antigen (поверхностный антиген вируса гепатита b)
Hh,Hedgehog signaling pathway (сигнальный путь hedgehog)
Ht,Hematocrit (гематокрит)
IAC,Independent Adjudication Committee (независимый экспертный комитет)
IARC,International Agency for Research on Cancer (международное агентство по изучению рака)
IB,Immunoblotting (вестерн-блоттинг)
IBDQ,Inflammatory Bowel Disease Questionnaire (опросник для оценки воспалительных заболеваний кишечника)
IBE,Iron-Binding Equivalent (железо-связывающий эквивалент)
IC50,"Half-maximal Inhibitory Concentration (концентрация полумаксимального ингибирования): концентрация вещества, вызывающая 50% ингибирование биологической или биохимической активности"
ICAM-1,Intercellular Adhesion Molecule 1 (молекула межклеточной адгезии 1)
ICH,International Council for Harmonisation (международный совет по гармонизации)
ICR,Independent Central Review (независимая централизованная оценка)
ID,Identification code (идентификационный код)
IDE,Insulin-Degrading Enzyme (инсулино-деградирующий фермент)
IDF,International Diabetes Federation (международная диабетическая федерация)
IDV,Indinavir (индинавир)
IFN,Interferon (интерферон)
IGA,Investigator Global Assessment (шкала тяжести атопического дерматита)
IGF,Insulin-like Growth Factor (инсулиноподобный фактор роста)
IGF1,Insulin-like Growth Factor 1 (инсулиноподобный фактор роста 1)
IL,Interleukin (интерлейкин)
IL-6,Interleukin-6 (интерлейкин-6)-6
IMAP,Ion Mobility Affinity Polarization (анализ поляризации флуоресценции на основе сродства ионов)
IMDC,International Metastatic renal Cell carcinoma Database consortium (международный консорциум по лечению метастатического рака почки)
IND,Investigational New Drug (исследуемый новый препарат)
INSTI,Integrase Strand Transfer Inhibitor (ингибитор переноса цепи интегразы)
IP,Immunoprecipitation (иммунопреципитация)
IPSS-R,Revised International Prognostic Scoring System (пересмотренная интернациональная прогностическая шкала)
IQR,Interquartile Range (межквартильный диапазон)
IR,Immediate Release (немедленное высвобождение)
IRR,Incident Rate Ratio (коэффициент инцидентности)
ISR,Insulin Secretion Rate (скорость секреции инсулина)
ISR/G,Insulin Secretion Rate adjusted for Glucose (скорость секреции инсулина с поправкой на глюкозу)
ITT,Intent-To-Treat (выборка «по назначенному лечению»)
IUPAC,International Union of Pure And applied Chemistry (международный союз теоретической и прикладной химии)
