"abbreviation","description","contexts"
"СНЯ","Серьёзное нежелательное явление","...я исследования не было зарегистрировано ни одного СНЯ или летального исхода. Количество зарегистрирован... ...я исследования не было зарегистрировано ни одного СНЯ или летального исхода. На протяжении всего исслед..."
"QTcF","QT- Fredericia","...значений. QTcF> 500 мс не наблюдалось, увеличение QTcF по сравнению с исходным уровнем, превышающим 60 м... ...роль для выявления возможного удлинения интервала QTcF. Следует также избегать одновременного применения... ...я наблюдались у 3% пациентов. Изменение интервала QTcF составляло 6 мсек относительно исходных значений.... ...1% пациентов, соответственно. Удлинение интервала QTcF более 500 мс наблюдалось у <1% пациентов. Эпизоды... ...составляло 6 мсек относительно исходных значений. QTcF> 500 мс не наблюдалось, увеличение QTcF по сравне..."
"ИТК","Ингибитор тирозинкиназы","...е в качестве стандарта терапии ХМЛ специфического ИТК иматиниба позволило достичь беспрецедентных ответ... ...ия ХМЛ, а именно появление в клинической практике ИТК второго поколения (нилотиниб, дазатиниб), открыва... ...годня живы большинство больных, начавших получать ИТК 12 лет назад. Общая выживаемость пациентов (по да... ...ных эффектов трех зарегистрированных к применению ИТК дает возможность выбора препарата с наилучшей пер... ...таны другие препараты, также относящиеся к группе ИТК. Отдельные препараты прошли клинические исследова... ... ингибирующих зависимую от Bcr-Abl тирозинкиназу (ИТК), и высокой эффективностью этой терапии изменилас... ...х при постоянном приеме ингибиторов тирозинкиназ (ИТК) до использования принципа ранней индукции полной... ... специфических ингибиторов Bcr-Abl-тирозинкиназы (ИТК) привело к изменению прогноза при ХМЛ. Так называ... ...я в клиническую практику ингибитора тирозинкиназ (ИТК) I поколения иматиниба мезилата (Гливек; Novartis... ...и в течение первых 3 лет терапии с использованием ИТК второго поколения значительно выше (35—50%) по ср..."
"ПЦО","Полный цитогенетический ответ","...ль ПЦО к 24 месяцам (включая пациентов, достигших ПЦО в момент или до 24-месячного периода времени) был... ...г один раз в день. Полный цитогенетический ответ (ПЦО) определялся как 0% Ph + метафазы в костном мозге... ...ь ПЦО на 12 месяцев (включая пациентов, достигших ПЦО в момент ответа или до 12-месячного периода време... ...нии оценки не менее 20 метафаз. Лучший показатель ПЦО на 12 месяцев (включая пациентов, достигших ПЦО в... ...еских исследований. Частота достижения ПГО, БЦО и ПЦО была высокой и почти не различалась в группах бол... ...иентов в ХФ был БЦО, определяемый как элиминация (ПЦО, полный цитогенетический ответ) или значительное ... ...0 мг один раз в день, см. таблицу 4.3. Показатель ПЦО к 24 месяцам (включая пациентов, достигших ПЦО в ..."
"МО","Молекулярный ответ","...ественного теста, валидированного для определения МО с минимальной чувствительностью МО, равному 4.5. ... ...ля определения МО с минимальной чувствительностью МО, равному 4.5. Уровень транскрипта BCR-Abl следует... ...лиза с интервалом 4 недели, подтверждающих потерю МО 4.0) или потерей БМО лечение препаратом следует в... ...ожности определения уровня их экспрессии, глубины МО и оценки возможной потери молекулярной ремиссии п... ...озможность отмены терапии при стабильном глубоком МО 4.5 на фоне терапии нилотинибом на протяжении 3 л... ...ечение предшествующих 3 лет и достигших глубокого МО, стабильного на протяжении минимум 1 года непосре... ...е 12 недель. У пациентов с подтвержденной потерей МО 4.0 (2 последовательных анализа с интервалом 4 не... ...хронической фазе, достигших стабильного глубокого МО При отмене терапии препаратом Тасигна® при попытк... ...ь до повторного достижения предшествующих БМО или МО 4.0. Соответствие критериям отмены терапии. У пац... ...циенты с Ph+ XMЛ в хронической фазе, не достигшие МО 4.5 или более на фоне терапии иматинибом. Ниже пр..."
"ЕАЭС","Евразийский Экономический Союз","...ных требований Евразийского Экономического Союза (ЕАЭС), а также международных требований (EMA и FDA) к ... ...мечается линейность в соответствии с требованиями ЕАЭС, указанными выше. В таблице ниже представлены рез... ...регламентируется Приложением №10 к Решению Совета ЕАЭС №85 (далее – Правила) «Требования к проведению фа..."
"ФД","Фармакодинамика","... дозе 800 мг/сут, соответственно.  Взаимосвязь ФК/ФД  Лакосамид увеличивает интервал PR. Эффект зависи... ...ала PR. Был проведен один анализ эффективности ФК ФД, который показал, что плато в ответе будет достиг... ...амика и механизм действия	53 4.2.2.Взаимосвязь ФК/ФД	54 4.3.Безопасность и эффективность	54 4.3.1.Клин..."
"RSD","Residual standard deviation","...ндартное отклонение (residual standard deviation, RSD) более 20%, поэтому приведенные данные носят инфо... ...новного вещества слишком низкая и, как следствие, RSD более 20%, поэтому приведенные данные носят инфор..."
"СБН","Стимуляция блуждающего нерва","...е препараты (ПЭП) и стимуляцию блуждающего нерва (СБН). Новые ПЭП отличаются от более старых нескольким..."
"ХФ","Хроническая фаза","...льшого цитогенетического ответа (БЦО) у больных в ХФ, ФА и БК составила 92 и 35%, 74 и 27%, 39 и 18% с... ...ляет примерно 85%. У больных с хронической фазой (ХФ) ХМЛ выживаемость без прогрессирования до фазы ак... ...ки доброкачественно протекающей хронической фазы (ХФ) ХМЛ накапливается большая масса лейкозных клеток... ...осимость. Первичной конечной точкой у пациентов в ХФ был БЦО, определяемый как элиминация (ПЦО, полный... ...полнительных онкогенных путей и прогрессии ХМЛ из ХФ в фазу акселерации (ФА) и бластного криза (БК) [2... ...Полный гематологический ответ (ПГО) у пациентов с ХФ был оценен как вторичная конечная точка. Первично... ...4.2. 	Частота ответа на терапию. 1114 пациентов в ХФ не были включены в оценку, т.к. исходно имели ПГО... ...анее проводимой терапии иматинибом, из них 17 – в ХФ ХМЛ, 56 – в ФА ХМЛ, 24 – с миелоидным БК ХМЛ и 22... ...была проведена у 321 пациента в хронической фазе (ХФ) и 137 пациентов в фазе акселерации (ФА). Доза ни... ...ыделяют три стадии заболевания: хроническая фаза (ХФ), фаза акселерации (ФА) (прогрессирование), бласт..."
"EGFR","Epidermal growth factor receptor","...спрессирующих другие тирозинкиназы (VEGFR, Jak-2, EGFR, Ras, PKB и др.) [8, 10]. Нилотиниб подавлял прол..."
"ВОЗ","Всемирная организация здравоохранения","...сно данным Всемирной организации здравоохранения (ВОЗ) около 50 миллионов человек во всем мире страдают..."
"МНН","Международное непатентованное наименование","...ИСЛОТА-ТЛ. Внутреннее название препарата: MKF-TL. МНН: микофеноловая кислота. Лекарственная форма: табл..."
"FDA","Food and Drug Administration","...ания  Беременность  Категория действия на плод по FDA — C. Общий риск, связанный с эпилепсией и примене..."
"ИМП","Инструкция по медицинскому применению","...нейности фармакокинетики микофеноловой кислоты. В ИМП оригинального препарата Майфортик® указано, что ф..."
"ФА","Фаза акселерации","... терапии иматинибом, из них 17 – в ХФ ХМЛ, 56 – в ФА ХМЛ, 24 – с миелоидным БК ХМЛ и 22 – с лимфоидным... ...го цитогенетического ответа (БЦО) у больных в ХФ, ФА и БК составила 92 и 35%, 74 и 27%, 39 и 18% соотв... ...левания: хроническая фаза (ХФ), фаза акселерации (ФА) (прогрессирование), бластный криз (БК). За после... ...начительно меньшее число больных прогрессируют до ФА/БК при терапии нилотинибом в дозе 600 и 800 мг по... ... путей и прогрессии ХМЛ из ХФ в фазу акселерации (ФА) и бластного криза (БК) [29, 30, 14, 37]. Внедрен... ...ии и предупреждения развития развернутых фаз ХМЛ (ФА и БК), при которых происходит активация не зависи... ...ая точка. Первичной конечной точкой у пациентов в ФА была общий подтвержденный гематологический ответ ... ...кой фазе (ХФ) и 137 пациентов в фазе акселерации (ФА). Доза нилотиниба составляла 400 мг два раза в де... ...аемость без прогрессирования до фазы акселерации (ФА) и бластного криза (БК) — 92%. Частота прогрессир..."
"ПГО","Полный гематологический ответ","... ХФ не были включены в оценку, т.к. исходно имели ПГО 2 ОПЛ  = отсутствие признаков лейкоза/костномозго... ...аточно высокая активность препарата. Так, частота ПГО и большого цитогенетического ответа (БЦО) у больн... ...оэтических клеток. Полный гематологический ответ (ПГО) у пациентов с ХФ был оценен как вторичная конечн... ...фазе клинических исследований. Частота достижения ПГО, БЦО и ПЦО была высокой и почти не различалась в ..."
"FIP1L1","Factor interacting with poly A polymerase L1","...or receptor β), так и клеток, экспрессирующих ген FIP1L1-PDGFRα (FIP1-Like1-platelet derived growth factor... ...22,2 нмоль), то клетки, экспрессирующие мутантный FIP1L1-PDGFRα—T674I, оставались к нему резистентными (IC... ... в разных фазах, Ph+ острый лимфобластный лейкоз, FIP1L1-PDGFRα+ гиперэозинофильный синдром, TEL-PDGFRβ+ х... ...летками, экспрессирующими дикие гены TEL-PDGFRβ и FIP1L1-PDGFRα при однократном пероральном введении в доз..."
"ХМЛ","Хронический миелоидный лейкоз","... лет [34]. Еще более редкие случаи заболеваемости ХМЛ у детей. Заболеваемость увеличивается с возрастом... ...4]. В 2012 году во Всероссийском Регистре больных ХМЛ насчитывалось 5655 пациентов, из них 93,1 % — в х... ...ение Ph-положительного хронического миелолейкоза (ХМЛ) включало применение гидроксимочевины, интерферон... ...l является обязательным для установления диагноза ХМЛ. Приблизительно 95% пациентов с хроническим миело... ...или его непереносимости. Хронический миелолейкоз (ХМЛ) — редкое заболевание. Число первичных больных в ... ...ических стволовых клетках. Уникальная особенность ХМЛ — наличие специфического маркера в опухолевых кле... ...иагностикой и лечением хронического миелолейкоза (ХМЛ) кардинально изменилась. Появление препаратов, ун... ... шести с половиной тысяч и более. Патогенетически ХМЛ представляет собой клональный миелопролиферативны... ...ло к быстрому и значительному прогрессу в лечении ХМЛ, а также к важным изменениям в тактике ведения бо... ...(1,2:1). Медиана возраста составляет 11 лет [31]. ХМЛ – двух- или трехфазная болезнь. Начальный, или хр..."
"ICH","International Conference for Harmonization","...дуктов, предназначенных для применения человеком (ICH), проведения оценки канцерогенного потенциала для..."
"TEL","Translocated ETS E26 transformation-specific leukemia, E26","...ейкоз, FIP1L1-PDGFRα+ гиперэозинофильный синдром, TEL-PDGFRβ+ хронический миеломоноцитарный лейкоз, c-k... ...тивную активность как клеток, экспрессирующих ген TEL-PDGFRβ (TEL-platelet derived growth factor recept... ...иб-резистентные клетки, экспрессирующие мутантный TEL-PDGFRβ— T681I, сохраняли чувствительность к нилот... ...нтированных клетками, экспрессирующими дикие гены TEL-PDGFRβ и FIP1L1-PDGFRα при однократном перорально... ...ность как клеток, экспрессирующих ген TEL-PDGFRβ (TEL-platelet derived growth factor receptor β), так и..."
"UV-LLNA","Ultra violet local lymph node assay","...in vitro 3Т3 NRU, однако проведенный тест in vivo UV-LLNA на мышах, не выявил наличия фототоксичности препа..."
"АД","артериальное давление","...осудов: часто - повышение артериального давления (АД), «приливы» крови; нечасто - гипертонический криз... ...астота неизвестна - геморрагический шок, снижение АД, тромбоз, стеноз периферических артерий. Нарушени..."
"ПЭП","Противоэпилептические препараты","...екоторых сохраняется наличие приступов.  Основные ПЭП, применяемые при различных типах приступов у взро... ...при абсансах: этосуксимид [8].  Механизм действия ПЭП можно разделить на четыре группы в зависимости от... ...едовательно, по-прежнему существует потребность в ПЭП с более высокой эффективностью и переносимостью. ... ...и, включая новые противоэпилептические препараты (ПЭП) и стимуляцию блуждающего нерва (СБН). Новые ПЭП ... ...ечение эпилепсии имеет следующие подходы: терапия ПЭП (выбор ПЭП в зависимости от типа приступов и форм... ...рациональная политерапия, принципы комбинирования ПЭП и др.); хирургическое вмешательство.  При некотор... ...(ПЭП) и стимуляцию блуждающего нерва (СБН). Новые ПЭП отличаются от более старых несколькими важными ас... ...нежелательные эффекты имеющихся в настоящее время ПЭП. Следовательно, по-прежнему существует потребност... ...епсии имеет следующие подходы: терапия ПЭП (выбор ПЭП в зависимости от типа приступов и формы эпилепсии... ... с более высокой эффективностью и переносимостью. ПЭП являются основной симптоматической терапией для л..."
"BCR","Breakpoint cluster region gene","...тирозинкиназную активность онкобелков, кодируемых BCR/ABL1, привело к быстрому и значительному прогресс... ...адельфийской хромосомы и образование онкопротеина BCR-Abl.  По мере развития ХМЛ становится всё более а... ...ома (Ph-хромосома), и формирование химерного гена BCR-Abl (рисунок 1). В последующем химерный ген начин... ...лка в культурах клеток, экспрессирующих дикий тип BCR-Abl, составила 15 и 280 нмоль у нилотиниба и имат... ...я в настоящее время является терапия ингибиторами BCR-Abl тирозинкиназы. Данные препараты имеют механиз... ...езию и апоптоз. Выявление Ph-хромосомы, либо гена BCR-Abl является обязательным для установления диагно... ... лимфобластным лейкозом экспрессируют онкопротеин BCR-Abl и положительны по наличию филадельфийской хро... ...к, экспрессирующих как дикий, так и мутантный ген BCR-Abl, к нилотинибу по сравнению с иматинибом. Инги... ...изм таргетного (целенаправленного) воздействия на BCR-Abl-положительные опухолевые клетки. При этом сни... ...мы, и гена точечного разрыва кластерного региона (BCR), кодирующего фосфопротеин в сегменте q11 22 хром..."
"IC50","Inhibition concentration","... в 10 и 30 раз соответственно ниже по сравнению с IC50 иматиниба. При этом для нилотиниба этот показател... ...клеток, мутантных по BCR-Abl (кроме BCR-AblT315I; IC50>10000 нмоль) — это ниже концентрации препарата, с... ... Эти концентрации препарата были существенно выше IC50 нилотиниба, необходимой для подавления пролиферат... ...ьтурах клеток, экспрессирующих дикий тип BCR-Abl, IC50 нилотиниба для подавления пролиферации и аутофосф... ...— T681I, сохраняли чувствительность к нилотинибу (IC50 22,2 нмоль), то клетки, экспрессирующие мутантный... ...очные линии, экспрессирующие мутантный ген T315I. IC50 для подавления фосфорилирования субстратов BCR-Ab... ...МЛ и гиперэозинофильного синдрома соответственно. IC50 нилотиниба и иматиниба для подавления пролифераци... ...0), была значительно ниже таковой иматиниба. Так, IC50, необходимая для подавления фосфорилирования субс... ...бходимая для подавления 50% лейкемических клеток (IC50), была значительно ниже таковой иматиниба. Так, I... ...L1-PDGFRα—T674I, оставались к нему резистентными (IC50 не была достигнута). Эффективность препарата была..."
"НЯ","Нежелательное явление","...юдалось также носовое кровотечение. Все описанные НЯ разрешились полностью самостоятельно. Доброволец ... ...исследования у них, за исключением выбывшей из-за НЯ женщины-добровольца и отказавшегося от участия в ... ...добровольцы опрашивались на предмет возникновения НЯ вне зависимости от связи с приемом препарата. Суб... ...нии участия здоровых добровольцев в КИ по причине НЯ в открытых литературных источниках представлены в... ...о: Наиболее распространенными и часто сообщаемыми НЯ при приеме лакосамида были головокружение, головн... ...ь, диплопия, тошнота. Обнаружены некоторые редкие НЯ, например, лекарственная гиперчувствительность, а... ... и >5%) наблюдались слабо или умеренно выраженные НЯ, такие как алопеция, мышечный спазм, снижение апп... ...ния (17%), анемия (14%). Отмена терапии в связи с НЯ потребовалась 16% пациентов с ХМЛ в хронической ф... ...иарея, рвота и миалгия. Большинство вышеуказанных НЯ были слабо или умеренно выражены. Менее часто (<1... ...влены НЯ с неизвестной частотой. Частота развития НЯ, отмечаемых более чем в 5% случаев, представлена ... ...е часто чем до отмены терапии возникать следующие НЯ: симптомы со стороны скелетно-мышечной системы, т... ... нечасто (>1/1000, <1/100), отдельно представлены НЯ с неизвестной частотой. Частота развития НЯ, отме... ...нибом не отмечено увеличения интервала QT >60 мс. НЯ перечисленные ниже, сгруппированы по органам и си... ...0%) негематологическими нежелательными явлениями (НЯ), связанными с применением препарата, были: кожна... ... получавших терапию нилотинибом, чаще развивались НЯ, приводившие к временному или полному прекращению... ... или длительные) не наблюдались. Гематологические НЯ, включая миелосупрессию: тромбоцитопения (31%), н..."
