"abbreviation","description","contexts"
"Cmax","Максимальная концентрация лекарственного вещества в плазме крови","...а при применении лакозамида (600 мг/сут на основе Cmax 14,5 ± 1,7 мкг/мл (58 мкмоль/л)).	40 Таблица 3-3.... .... В 12-месячном исследовании при NOAEL (10 мг/кг) Cmax составляла 14 мкг/мл, а  - 71 мкг·ч/мл у самцов и... ...плазме крови в целом была выше, чем у взрослых, а Cmax достигалась в более поздние временные точки. У бе... ...ании с внутривенным введением при NOAEL (8 мг/кг) Cmax составила 13 мкг/мл, а  - 48 мкг·ч/мл. В двух тес... ...мида в плазме крови быстро возрастает и достигает Cmax примерно через 0,5-4 часа после применения.  Лако... ...11,3-22,6 мкг/мл, что, однако, превышает диапазон Cmax, полученный после применения максимальной рекомен... ...ведения, а также после многократного перорального Cmax увеличивалась приблизительно или немного менее, ч... ...довании при приеме внутрь в дозе NOAEL (90 мг/кг) Cmax составила 26 мкг/мл, а  - 299 мкг·ч/мл, что остав... ...экспозицией для человека (200 мг 2 р/сут) 2,4 для Cmax и 3,0 для AUC. Собакам лакосамид вводили перораль... ...были очевидны уже при этом уровне дозы. При NOAEL Cmax была равна 29 мкг/мл, а AUC0-24ч - 97 мкг·ч/мл. К..."
"GLP","Надлежащая лабораторная практика","...роги возникали у мышей при введении 64 мг/кг в/б. GLP-модифицированный тест Ирвина на крысах: лакосамид... ...ости были проведены в соответствии со стандартами GLP.  Токсичность при однократном введении  NOAEL сос... ... со стандартами надлежащей лабораторной практики (GLP). Программа разработки  III фазы включает 6 завер... ...были проведены в полном соответствии с принципами GLP. В исследованиях in vitro лакосамид снижал продол... ...емы in vivo на собаках и обезьянах В исследовании GLP на собаках под анестезией с установленными датчик..."
"ICH","Международный совет по гармонизации","...ациями и руководящими указаниями ICH S7A (2000) и ICH S7B (2005). Кроме того, было оценено влияние на п... ...ия была проведена в соответствии с рекомендациями ICH M3 (R1). Все основные фармакологические и токсико... ...ных анализа серии, т. е. ниже порога квалификации ICH Q3A (R). Принимая во внимание заявление об ужесто... ...твующими рекомендациями и руководящими указаниями ICH S7A (2000) и ICH S7B (2005). Кроме того, было оце..."
"NOAEL","No observed adverse effect level, максимальная доза препарата, не приводящая к развитию наблюдаемых нежелательных эффектов","... отмечено не было. В 12-месячном исследовании при NOAEL (10 мг/кг) Cmax составляла 14 мкг/мл, а  - 71 мкг... ...ь, антигенность, иммунотоксичность, зависимость). NOAEL составляла 31,6 мг/кг как у мышей, так и у крыс п... ...емой, были очевидны уже при этом уровне дозы. При NOAEL Cmax была равна 29 мкг/мл, а AUC0-24ч - 97 мкг·ч/... ...амок. В исследовании с внутривенным введением при NOAEL (8 мг/кг) Cmax составила 13 мкг/мл, а  - 48 мкг·ч... ...лица 3-2. Экспозиция лакосамида при доклинической NOAEL и прогнозируемая экспозиция у человека при примен... ...ртами GLP.  Токсичность при однократном введении  NOAEL составляла 31,6 мг/кг как у мышей, так и у крыс п... ...ых дозолимитирующих эффектов. Предполагалось, что NOAEL составляет 60 мг/кг, хотя незначительные эффекты,... ... 6-месячном исследовании при приеме внутрь в дозе NOAEL (90 мг/кг) Cmax составила 26 мкг/мл, а  - 299 мкг... ...емой, были очевидны уже при этом уровне дозы. При NOAEL Cmax была равна 29 мкг/мл, а AUC0-24ч - 97 мкг·ч/... ...ых дозолимитирующих эффектов. Предполагалось, что NOAEL составляет 60 мг/кг, хотя незначительные эффекты,... ...отоксичности у кроликов составлял 100 мг/кг/день. NOAEL, установленные у крыс и кроликов, соответствовали... ...нов. По результатам исследований были установлены NOAEL токсичности для материнского организма равная 100... ...системы. Основываясь на результатах исследования, NOAEL для эмбриотоксичности у кроликов составлял 100 мг... ...нского организма равная 100 мг/кг/день, тогда как NOAEL для эмбриотоксичности равнялась <20 мг/кг/день [3..."
"T1/2","Период полувыведения","...ла и увеличивалась примерно пропорционально дозе. T1/2 был коротким, около 2 часов. Кумуляция лакосамида... ...ие данного пути метаболизма является минимальным. T1/2 составляет около 13 ч. Выводится с мочой в неизме... ...тного перорального применения обнаружено не было. T1/2 у крыс был равен примерно 1,3 часам. У беременных..."
"Tmax","Время достижения максимальной концентрации","...зме крови. Максимальные уровни в плазме и крови и Tmax у самцов и самок крыс были одинаковыми, а системн... ...акосамид быстро и полностью абсорбируется из ЖКТ. Tmax составляет приблизительно 0.5-4 ч. После в/в введ... ...ия максимального уровня препарата в плазме крови (Tmax), т. е. через 2-5 минут после в/в введения. Уровн... ...ктом, что оценка ЭКГ проводилась после достижения Tmax и что бодрствующие собаки менее чувствительны к в... ...симальной концентрации нилотиниба в плазме крови (Tmax) составляет около 3 ч. Абсорбция нилотиниба после... ...абсорбции после перорального введения у животных, Tmax колебался от получаса до 4 часов. Также в исследо..."
"FDA","Food and Drug Administration / Управление по санитарному надзору за качеством пищевых продуктов и медикаментов","...ания  Беременность  Категория действия на плод по FDA — C. Общий риск, связанный с эпилепсией и примене..."
"ВОЗ","Всемирная организация здравоохранения","...сно данным Всемирной организации здравоохранения (ВОЗ) около 50 миллионов человек во всем мире страдают..."
"ПЭП","Противоэпилептические препараты","...екоторых сохраняется наличие приступов.  Основные ПЭП, применяемые при различных типах приступов у взро... ...при абсансах: этосуксимид [8].  Механизм действия ПЭП можно разделить на четыре группы в зависимости от... ...едовательно, по-прежнему существует потребность в ПЭП с более высокой эффективностью и переносимостью. ... ...и, включая новые противоэпилептические препараты (ПЭП) и стимуляцию блуждающего нерва (СБН). Новые ПЭП ... ...ечение эпилепсии имеет следующие подходы: терапия ПЭП (выбор ПЭП в зависимости от типа приступов и форм... ...рациональная политерапия, принципы комбинирования ПЭП и др.); хирургическое вмешательство.  При некотор... ...(ПЭП) и стимуляцию блуждающего нерва (СБН). Новые ПЭП отличаются от более старых несколькими важными ас... ...нежелательные эффекты имеющихся в настоящее время ПЭП. Следовательно, по-прежнему существует потребност... ...епсии имеет следующие подходы: терапия ПЭП (выбор ПЭП в зависимости от типа приступов и формы эпилепсии... ... с более высокой эффективностью и переносимостью. ПЭП являются основной симптоматической терапией для л..."
"СБН","Стимуляция блуждающего нерва","...е препараты (ПЭП) и стимуляцию блуждающего нерва (СБН). Новые ПЭП отличаются от более старых нескольким..."
"ДИ","Доверительный интервал","...а ковариационном анализе, составило 31,72 % (95 % ДИ: 16,342, 44,277). В целом доля пациентов, у котор... ...ица между методами лечения составила -1,3 % (95 % ДИ: -5,5, 2,8). По оценкам Каплана-Мейера, частота о..."
"США","Соединенные Штаты Америки","...тралии и Европы, большинство центров находились в США. Субъекты были рандомизированы в соотношении 3:1 ..."
"ФД","Фармакодинамика","... дозе 800 мг/сут, соответственно.  Взаимосвязь ФК/ФД  Лакосамид увеличивает интервал PR. Эффект зависи... ...ала PR. Был проведен один анализ эффективности ФК ФД, который показал, что плато в ответе будет достиг... ...амика и механизм действия	53 4.2.2.Взаимосвязь ФК/ФД	54 4.3.Безопасность и эффективность	54 4.3.1.Клин..."
"ФК","Фармакокинетика","...ервала PR. Был проведен один анализ эффективности ФК ФД, который показал, что плато в ответе будет дос... ...динамика и механизм действия	53 4.2.2.Взаимосвязь ФК/ФД	54 4.3.Безопасность и эффективность	54 4.3.1.К... ...ки.  Внутри - и межиндивидуальная вариабельность  ФК лакосамида характеризуется низкой внутрииндивидуа... ...д в дозе 800 мг/сут, соответственно.  Взаимосвязь ФК/ФД  Лакосамид увеличивает интервал PR. Эффект зав... ...приведены в таблице ниже.  Таблица 4.1. Параметры ФК в объединенной популяции (общая популяция и попул... ...ирования. Кроме того, было проведено исследование ФК у всех пролеченных в исследовании пациентов метод... ...я CAMN107A2303, в котором оценка фармакокинетики (ФК) нилотиниба в дозах 300 мг 2 раза в день и 400 мг... ... в разрешенной дозе. Были получены полные профили ФК для общей популяции пациентов и подгруппы японски... ...еления не менее 2,50 нг/мл. Результаты параметров ФК приведены в таблице ниже.  Таблица 4.1. Параметры..."
"ЦНС","Центральная нервная система","...аркозом.  Влияние на центральную нервную систему (ЦНС)  Ранний нейрофармакологический скрининг-тест на ... ...и эту дозу из-за нежелательных реакций со стороны ЦНС и желудочно-кишечного тракта. Таким образом, доза... ...была хуже по причине побочных эффектов со стороны ЦНС и ЖКТ. Поэтому использование дозы 600 мг/сут не р... ...жного воздействия на центральную нервную систему (ЦНС) получены не были. Исследования I фазы с исследов... ...ом экспрессируется в центральной нервной системе (ЦНС) и участвует в дифференцировке нейронов и росте а... ...та встречаемости нежелательных реакций со стороны ЦНС, таких как головокружение, может быть выше после ... ...х реакций со стороны центральной нервной системы (ЦНС) и желудочно-кишечного тракта (ЖКТ), в динамике, ... ...т наблюдалась клиническая симптоматика со стороны ЦНС и ЖКТ (головокружение и тошнота), которая исчезал..."
"3Т3 NRU","3Т3 Neutral Red Ultraviolet, клеточная линия фибробластов мышей-альбиносов (3Т3), подвергаемая витальному воздействию красителя нейтрального красного и регистрации ультрафиолетового излучения от клеток","...ичие фототоксического потенциала в тесте in vitro 3Т3 NRU, однако проведенный тест in vivo UV-LLNA на мышах..."
"Abl","Abelson murine leukemia viral oncogene homolog, протонкоген Абельсона","... ген Bcr-Abl, кодирующий синтез онкопротеина (Bcr-Abl-тирозинкиназа, или белок р210); его продукция при... ... и апоптоз. Выявление Ph-хромосомы, либо гена BCR-Abl является обязательным для установления диагноза Х... ...таргетного (целенаправленного) воздействия на BCR-Abl-положительные опухолевые клетки. При этом снижает... ...пии ХМЛ препаратов, ингибирующих зависимую от Bcr-Abl тирозинкиназу (ИТК), и высокой эффективностью это... ...тками между хромосомами) протонокогена Абельсона (Abl), кодирующего нерецепторную тирозинкиназу, находя... ...ьфийской хромосомы и образование онкопротеина BCR-Abl.  По мере развития ХМЛ становится всё более агрес... ...фобластным лейкозом экспрессируют онкопротеин BCR-Abl и положительны по наличию филадельфийской хромосо... ...(Ph-хромосома), и формирование химерного гена BCR-Abl (рисунок 1). В последующем химерный ген начинает ... ...настоящее время является терапия ингибиторами BCR-Abl тирозинкиназы. Данные препараты имеют механизм та... ...тате на 22-й хромосоме образуется слитный ген Bcr-Abl, кодирующий синтез онкопротеина (Bcr-Abl-тирозинк..."
"AUC","Area Under the Curve, площадь под кривой – фармакокинетический параметр, характеризующий суммарную концентрацию лекарственного препарата в плазме крови в течение определенного времени наблюдения","...ом, данные способы применения эквивалентны как по AUC, так и по Cmax. 4.1.1.3. Исследование фармакокине... ...о ингибировали изофермент CYP3A4 и Р-ГП, при этом AUC иматиниба повышалась на 18-39%, a AUC нилотиниба ... ...го уровня нилотиниба в плазме человека (по данным AUC). Следовательно, для данного вида токсичности коэ... ..., чем при применении в дозе 800 мг 1 раз в сутки. AUC нилотиниба при приеме в дозе 400 мг 2 раза в сутк... ...ении фармакокинетических исследованиях (по данным AUC) на крысах после введения повторных доз, по сравн... ...способы введения демонстрируют эквивалентность по AUC, но не по Cmax. При однократном приеме нилотиниба... ... концентраций препарата в плазме крови (по данным AUC) после введения повторных доз, по сравнению с одн... ...однократном приеме препарата наблюдалось снижение AUC нилотиниба на 35%, 35% и 19% у пациентов с наруше... ...(Сmах) и площадь под кривой «концентрация-время» (AUC) нилотиниба повышались на 112% и 82%, соответстве... ... доз Для препарата нилотиниб, на основании данных AUC в плазме крови животных, в пересчёте на значения ..."
"BCR","Breakpoint cluster region gene, ген точечного разрыва кластерного региона","...тирозинкиназную активность онкобелков, кодируемых BCR/ABL1, привело к быстрому и значительному прогресс... ...адельфийской хромосомы и образование онкопротеина BCR-Abl.  По мере развития ХМЛ становится всё более а... ...ома (Ph-хромосома), и формирование химерного гена BCR-Abl (рисунок 1). В последующем химерный ген начин... ...лка в культурах клеток, экспрессирующих дикий тип BCR-Abl, составила 15 и 280 нмоль у нилотиниба и имат... ...я в настоящее время является терапия ингибиторами BCR-Abl тирозинкиназы. Данные препараты имеют механиз... ...езию и апоптоз. Выявление Ph-хромосомы, либо гена BCR-Abl является обязательным для установления диагно... ... лимфобластным лейкозом экспрессируют онкопротеин BCR-Abl и положительны по наличию филадельфийской хро... ...к, экспрессирующих как дикий, так и мутантный ген BCR-Abl, к нилотинибу по сравнению с иматинибом. Инги... ...изм таргетного (целенаправленного) воздействия на BCR-Abl-положительные опухолевые клетки. При этом сни... ...мы, и гена точечного разрыва кластерного региона (BCR), кодирующего фосфопротеин в сегменте q11 22 хром..."
"BCR-Abl","BCR-Abl-тирозинкиназа","...изм таргетного (целенаправленного) воздействия на BCR-Abl-положительные опухолевые клетки. При этом снижает... ... лимфобластным лейкозом экспрессируют онкопротеин BCR-Abl и положительны по наличию филадельфийской хромосо... ...адельфийской хромосомы и образование онкопротеина BCR-Abl.  По мере развития ХМЛ становится всё более агрес... ...ибитор активности тирозинкиназы Abl онкопротеинов BCR-Abl, что действует в клеточных линиях и в первичных п... ...к, экспрессирующих как дикий, так и мутантный ген BCR-Abl, к нилотинибу по сравнению с иматинибом. Ингибиру... ...я в настоящее время является терапия ингибиторами BCR-Abl тирозинкиназы. Данные препараты имеют механизм та... ...еток, экспрессирующих разные виды мутантных генов BCR-Abl. Кроме того, ввиду высокой стоимости ИТК ежегодно... ...ома (Ph-хромосома), и формирование химерного гена BCR-Abl (рисунок 1). В последующем химерный ген начинает ... ...лка в культурах клеток, экспрессирующих дикий тип BCR-Abl, составила 15 и 280 нмоль у нилотиниба и иматиниб... ...езию и апоптоз. Выявление Ph-хромосомы, либо гена BCR-Abl является обязательным для установления диагноза Х..."
"Cmax","Максимальная концентрация лекарственного вещества в крови","...м при приеме целых капсул, наблюдалось увеличение Cmax, AUC0-tlast и AUC0-∞ на   31%, 11% и 8% соответст... ...ия демонстрируют эквивалентность по AUC, но не по Cmax. При однократном приеме нилотиниба, перемешанного... ...собы применения эквивалентны как по AUC, так и по Cmax. 4.1.1.3. Исследование фармакокинетики у пациенто..."
"EGFR","Epidermal growth factor receptor, Рецептор эпидермального фактора роста","...спрессирующих другие тирозинкиназы (VEGFR, Jak-2, EGFR, Ras, PKB и др.) [8, 10]. Нилотиниб подавлял прол..."
"FIP1L1","Factor interacting with poly(A) polymerase L1; фактор, взаимодействующий с поли(А)-полимеразой","...or receptor β), так и клеток, экспрессирующих ген FIP1L1-PDGFRα (FIP1-Like1-platelet derived growth factor... ...22,2 нмоль), то клетки, экспрессирующие мутантный FIP1L1-PDGFRα—T674I, оставались к нему резистентными (IC... ... в разных фазах, Ph+ острый лимфобластный лейкоз, FIP1L1-PDGFRα+ гиперэозинофильный синдром, TEL-PDGFRβ+ х... ...летками, экспрессирующими дикие гены TEL-PDGFRβ и FIP1L1-PDGFRα при однократном пероральном введении в доз..."
"IC50","Inhibition concentration, ингибирующая концентрация","... в 10 и 30 раз соответственно ниже по сравнению с IC50 иматиниба. При этом для нилотиниба этот показател... ...клеток, мутантных по BCR-Abl (кроме BCR-AblT315I; IC50>10000 нмоль) — это ниже концентрации препарата, с... ... Эти концентрации препарата были существенно выше IC50 нилотиниба, необходимой для подавления пролиферат... ...ьтурах клеток, экспрессирующих дикий тип BCR-Abl, IC50 нилотиниба для подавления пролиферации и аутофосф... ...— T681I, сохраняли чувствительность к нилотинибу (IC50 22,2 нмоль), то клетки, экспрессирующие мутантный... ...очные линии, экспрессирующие мутантный ген T315I. IC50 для подавления фосфорилирования субстратов BCR-Ab... ...МЛ и гиперэозинофильного синдрома соответственно. IC50 нилотиниба и иматиниба для подавления пролифераци... ...0), была значительно ниже таковой иматиниба. Так, IC50, необходимая для подавления фосфорилирования субс... ...бходимая для подавления 50% лейкемических клеток (IC50), была значительно ниже таковой иматиниба. Так, I... ...L1-PDGFRα—T674I, оставались к нему резистентными (IC50 не была достигнута). Эффективность препарата была..."
"ICH","Международная конференция по гармонизации (International Conference for Harmonization)","...дуктов, предназначенных для применения человеком (ICH), проведения оценки канцерогенного потенциала для..."
"Jak-2","Janus kinase 2, Янус-киназа 2 типа","...ток, экспрессирующих другие тирозинкиназы (VEGFR, Jak-2, EGFR, Ras, PKB и др.) [8, 10]. Нилотиниб подавля..."
"PDGFR","Platelet derived growth factor receptor, рецептор тромбоцитарного фактора роста","... и некоторых мутантных видов тирозинкиназ c-kit и PDGFR. При этом активность препарата в клеточных линиях..."
"Ph","Philadelphia chromosome, «Филадельфийская» хромосома","...етических дефектов [6, 14]. Чем дольше существует Ph-позитивный клон, тем выше вероятность возникновен... ...современной терапии ХМЛ — максимальное подавление Ph-положительного опухолевого клона. Стандартом лече... ...ovartis, Базель, Швейцария). До иматиниба лечение Ph-положительного хронического миелолейкоза (ХМЛ) вк... ...и образование так называемой филадельфийской, или Ph'- хромосомы [15, 20]. В результате на 22-й хромос... ...ению опухолевой массы и приводит к восстановлению Ph'-негативного кроветворения. Применение ИТК при ХМ... ...ию, дифференцировку, адгезию и апоптоз. Выявление Ph-хромосомы, либо гена BCR-Abl является обязательны... ...оложительны по наличию филадельфийской хромосомы (Ph+) [12]. Эта мутация является одной из самых распр... ...мосомы, так называемая филадельфийская хромосома (Ph-хромосома), и формирование химерного гена BCR-Abl... ...ваний, при которых нилотиниб может быть активен — Ph+/BCRAbl+ ХМЛ в разных фазах, Ph+ острый лимфоблас... ...ет быть активен — Ph+/BCRAbl+ ХМЛ в разных фазах, Ph+ острый лимфобластный лейкоз, FIP1L1-PDGFRα+ гипе..."
"Ph+","Клетки, содержащие филадельфийскую хромосому","...ет быть активен — Ph+/BCRAbl+ ХМЛ в разных фазах, Ph+ острый лимфобластный лейкоз, FIP1L1-PDGFRα+ гипер... ...вично положительных по филадельфийской хромосоме (Ph+) лейкозных клеток. Препарат обладает высоким срод... ...нию оптимальной дозы и безопасности терапии ХМЛ и Ph+ острого лимфолейкоза нилотинибом были включены 11... ...ваний, при которых нилотиниб может быть активен — Ph+/BCRAbl+ ХМЛ в разных фазах, Ph+ острый лимфобласт... ... с миелоидным БК ХМЛ и 22 – с лимфоидным БК ХМЛ и Ph+ острым лимфолейкозом. Доза нилотиниба варьировала... ...вязанные с применением нилотиниба): У пациентов с Ph+ XMЛ в хронической фазе и фазе акселерации, получа... ...жести по СТСАЕ. Прекращение лечения у пациентов с Ph+ ХМЛ в хронической фазе, которые достигли устойчив... ...ьфийской хромосоме хронический миелоидный лейкоз (Ph+ ХМЛ) в хронической фазе и фазе акселерации у взро... ...оложительны по наличию филадельфийской хромосомы (Ph+) [12]. Эта мутация является одной из самых распро... ...зе и 10% пациентов в фазе акселерации. Пациенты с Ph+ XMЛ в хронической фазе, не достигшие МО 4.5 или б..."
"PKB","Protein Kinase B, протеинкиназа тип В","...их другие тирозинкиназы (VEGFR, Jak-2, EGFR, Ras, PKB и др.) [8, 10]. Нилотиниб подавлял пролиферативну..."
"QTcF","QT- интервал, скорректированный по формуле Fredericia","...значений. QTcF> 500 мс не наблюдалось, увеличение QTcF по сравнению с исходным уровнем, превышающим 60 м... ...роль для выявления возможного удлинения интервала QTcF. Следует также избегать одновременного применения... ...я наблюдались у 3% пациентов. Изменение интервала QTcF составляло 6 мсек относительно исходных значений.... ...1% пациентов, соответственно. Удлинение интервала QTcF более 500 мс наблюдалось у <1% пациентов. Эпизоды... ...составляло 6 мсек относительно исходных значений. QTcF> 500 мс не наблюдалось, увеличение QTcF по сравне..."
"Ras","Retrovirus-associated sarcoma gene, ген, связанный с саркомой, вызываемой ретровирусом у крыс","...ирующих другие тирозинкиназы (VEGFR, Jak-2, EGFR, Ras, PKB и др.) [8, 10]. Нилотиниб подавлял пролифера..."
"TEL","Translocated ETS (E26 transformation-specific) leukemia, транскрипционный фактор трансформации E26, связанный с развитием лейкемии","...ейкоз, FIP1L1-PDGFRα+ гиперэозинофильный синдром, TEL-PDGFRβ+ хронический миеломоноцитарный лейкоз, c-k... ...тивную активность как клеток, экспрессирующих ген TEL-PDGFRβ (TEL-platelet derived growth factor recept... ...иб-резистентные клетки, экспрессирующие мутантный TEL-PDGFRβ— T681I, сохраняли чувствительность к нилот... ...нтированных клетками, экспрессирующими дикие гены TEL-PDGFRβ и FIP1L1-PDGFRα при однократном перорально... ...ность как клеток, экспрессирующих ген TEL-PDGFRβ (TEL-platelet derived growth factor receptor β), так и..."
"Tmax","Время достижения максимальной концентрации лекарственного вещества","...симальной концентрации нилотиниба в плазме крови (Tmax) составляет около 3 ч. Абсорбция нилотиниба после... ...абсорбции после перорального введения у животных, Tmax колебался от получаса до 4 часов. Также в исследо..."
"UV-LLNA","Ultra violet local lymph node assay, метод локальных лимфатических узлов при ультрафиолетовом облучении","...in vitro 3Т3 NRU, однако проведенный тест in vivo UV-LLNA на мышах, не выявил наличия фототоксичности препа..."
"VEGFR","Vascular Endothelial Growth Factor Receptor, рецептор фактора роста эндотелия сосудов","...цию клеток, экспрессирующих другие тирозинкиназы (VEGFR, Jak-2, EGFR, Ras, PKB и др.) [8, 10]. Нилотиниб ..."
"АД","артериальное давление","...осудов: часто - повышение артериального давления (АД), «приливы» крови; нечасто - гипертонический криз... ...астота неизвестна - геморрагический шок, снижение АД, тромбоз, стеноз периферических артерий. Нарушени..."
"АЛТ","Аланинаминотрасфераза","...ы биохимических показателей наблюдались повышение АЛТ (24%), гипербилирубинемия (16%), повышение АСТ (1... ...онения, представленные преимущественно повышением АЛТ, АСТ, липазы. Прием лекарственных препаратов, хар..."
