abbreviation,description
Bridge-терапия,"Терапия «ожидания»– неоадъювантное или иное противоопухолевое лечение у пациентов, ожидающих трансплантацию печени"
C24,Минимальная концентрация через 24 часа после приема лекарственного вещества
CACO-2,Иммортализованная клеточная линия клеток колоректальной аденокарциномы человека
CART,"Пептид, происходящий из регулируемого кокаином и амфетамином транскрипта"
CC50,Средняя цитотоксическая концентрация
CCK1,Рецептор холецистокинина а
CCR5,C-c-рецептор хемокина
CD,Кластер дифференцировки (cluster of differentiation)
CD (SD),Крысы линии sprague–dawley
CD (SD) BR,Лабораторные крысы спрег-доули
CD-1,Кластер дифференцировки (cluster of differentiation)
CD4,Рецептор
CDK,Циклинзависимаякиназа (cyclin-dependent kinase)
CDK4/CDK6,Циклин-зависимые киназы 4 и 6
CEF,Первичная комбинированная конечная точка неэффективности
CES,"Carboxylesterase, карбоксилэстераза"
CES1,Карбоксилэстераза типа 1 (сarboxylesterase 1)
CHADS2,Шкала оценки риска инсульта у больных фибрилляцией/трепетанием предсердий
CHAQ,Опросник оценки здоровья детей (children's health assessment questionnaire)
CKD-EPI,Новая формула для оценки скф (chronic kidney desease epidemiology collaboration)
CLL,Chronic lymphocytic leukemia
CLNR,Внепочечный клиренс
CLR,Почечный клиренс
CLp,Средний плазменный клиренс
CLu,Собственноый клиренс
CNP,"C-type natriuretic peptide, с-тип натрийуретический пептид"
CO2,Оксид углерода iv
COBI,Кобицистат
COVID-19,Новая коронавирусная инфекция
CP,Циклофосфамид
CP-690550,Лабораторный шифр тофацитиниба
CP-690550-10,"Cp-690550 в форме водной суспензии в носителе, состоящем из 5% метилцеллюлозы и 0,025% твин-80"
CPMP,Committee for proprietary medicinal products
CR,Контролируемое высвобождение (controlled release)
CRC,Кривая концентрация-ответ
CRF,"Circulating recombinant forms, циркулирующие рекомбинантные формы"
CSF1R,Киназы рецептора колониестимулирующего фактора
CTEPH,Хроническая тромбоэмболическая легочная гипертензия (chronic thromboembolic pulmonary hypertension)
CTLA-4,"Cytolytic t-lymphocyte-associated antigen, антиген 4 цитотоксических т лимфоцитов"
CVOT,Исследование сердечно-сосудистых исходов
CaMK2d,Кальций/кальмодулинзависимая протеинкиназа
CaMK2g,Кальций/кальмодулинзависимая протеинкиназа ii ℽ
CaMKII,Кальмодулин-зависимая протеинкиназа ii
Cav,Средняя концентрация
Ceff,Фармакологически эффективная концентрация
Child–Pugh,"Классификация чайлд-пью, оценочная методика, предназначенная для определения тяжести циррозов печени и выживаемости пациента"
Cl/F,Общий клиренс
Clast,Последняя ненулевая концентрация лекарственного вещества в крови
ClinicalTrials.gov Identifier,Идентификатор исследования на сайте clinicaltrials.gov
Clt,Общий клиренс препарата
Covid-19,"Инфекция, вызванная новым коронавирусом sars-cov-2"
CrCl,Клиренс креатинина
CsA,Циклоспорин
Ctrough,Концентрация перед очередным введением
"Ctrough,ss",Концентрация лекарственного вещества в плазме в стационарном состоянии
Cys,Цистеин
CРБ,C-реактивный белок
DAS28-4(СОЭ),"Четыре переменные для 28 суставов по шкале активности заболевания (disease activity score), включая скорость оседания эритроцитов"
DAS28-hsCRP,Показатель активности заболевания в 28 суставах с помощью высокочувствительного анализа с-реактивного белка
DAT,Переносчик дофамина
DCV,Даклатасвир
DDW,Дистиллированная деионизированная вода
DEX,"Deferasirox, деферазирокс"
DFN,"Deferipron, деферипрон"
DFO,"Deferoxamine, дефероксамин"
DICER1,"Ген, кодирующий белок, расположен на длинном плече хромосомы 14 (14q32.13)"
DIRKO,Линия мышей нокаутных по генам рецепторов гормонов-инкретинов
DL0,Максимальная нелетальная доза
DLCO,Diffusing capacity for carbon monoxide / диффузионная способность легких по монооксиду углерода
DLQI,Дерматологический индекс качества жизни
DLV,Делавирдин
DNA/ДНК,Дезоксирибонуклеиновая кислота
DOR,Доравирин
DP,Дифосфат
DPP,Дипептидил-пептидаза
DPP-IV,Ингибитор дипептидилпептидазы-4
DRV,Дарунавир
DSS,"Dahl salt-sensitive rat, перегруженные солью крысы"
DTG,Долутегравир
DTSQ,Опросник удовлетворенности от лечения диабета
Dx+,Диагностированный (diagnostic-positive)
Dx-,Недиагностированный (diagnostic-negative)
EAC,Комитет по оценке нежелательных явлений
EASD,Европейская ассоциация по изучению сахарного диабета
EBSS,Сбалансированный солевой раствор эрла
ECE,"Endothelin converting enzyme, эндотелин-превращающий фермент"
EFS,"Event-free survival, бессобытийная выживаемость"
EFV,Эфавиренз
ENF,Энфувиртид
EORTC,Европейская организация по исследованию и лечению рака (european organisation for research and treatment of cancer)
EPC,"Established pharmacologic class, установленный фармакологический класс"
EQ-5D,Европейский опросник для оценки качества жизни в 5 категориях (euroqol 5-dimension)
ER-,Негативная по рецептору эстрогена [опухоль]
ERAUC,"Коэффициент экспозиции, основанный на auc"
ERK,Киназа регулируемая внеклеточными сигналами (extracellular signal-regulated kinase)
"ERK (Ras-ERK, MAPK/ERK)","Митоген-активируемая протеинкиназа, один из хорошо изученных сигнальных путей mapk (mitogen-activated protein kinase)"
ESI,Источник ионизации электрораспылением
ESMO,Европейское общество медицинской онкологии
ESV,Элсульфавирин
ETR,Этравирин
EULAR,Критерии ревматоидного артрита европейской антиревматической лиги
EVG,Элвитегравир
EVG/c,Элвитегравир бустированный кобицистатом
EСOG,Eastern cooperative oncology group
"F, Ж",Самки
FACIT-F,Опросник для оценки функционального состояния при лечении хронического заболевания-подшкале усталости (functional assessment of chronic illness therapy-fatigue)
FACT-P,Шкала функциональной оценки противораковой терапии — рак предстательной железы (functional assessment of cancer therapy - prostate)
FBS,"Fetal bovine serum, фетальная бычья сыворотка"
FDC,Комбинация фиксированных доз
FIH,"Factor inhibiting hif, фактор ингибирования hif"
FIP1L1,"Factor interacting with poly(a) polymerase l1; фактор, взаимодействующий с поли(а)-полимеразой"
FKB-12,Fk-связывающий белок 12
FLT3LG,"Лиганд тирозинкиназы 3, родственный fms (flt3lg), кодируется геном flt3lg (fms-related tyrosine kinase 3 ligand)"
FLVK,Fgf (фактор роста фибробластов)-подобная киназа vegf
FMI,"Окончательный вариант, предназначенный для обращения на рынке"
FMO3,"Мутация, ассоциированная с триметиламинурией"
FOLFIRI,"Фторурацил, лейковорин, иринотекан"
FOLFOX,"Фторурацил, лейковорин, оксалиплатин"
FPD,Диаметр мелкодисперсных частиц (fine particle diameter)
FPV/r,Фосампренавир / ритонавир
FTC,Эмтрицитабин
FTC/F,Эмтрицитабин
Fe (0-t),"Доля от введенной дозы вещества (%), экскретируемой с мочой в течение t количества часов после ведения"
Flt-3,Fms-подобная протеинтирозинкиназа
Frel,Относительная биодоступность
GAS6 (AXL),Рецепторная тирозинкиназа семейства axl активируются витамин к-зависимым белком gas6
GD,День гестации
GINA,Глобальная инициатива по бронхиальной астме (global initiative for asthma)
GIP,Желудочный ингибитор полипептида
GLDH,Glutamate dehydrogenase/глутаматдегидрогеназа
GLE,Глекапревир
GLI,"Glioma-associated oncogene, онкоген, ассоциированный с глиомой"
GLUT,Независимый от na+ транспортер
GM,Геометрическое среднее (geometric mean)
GP,Гликопротеин (glycoprotein)
GSS,"Genotypic susceptibility score, оценка генотипической восприимчивости"
GST,Глутатион-s-трансфераза (glutathione-s-transferase)
GT,Генотип
Glu,Глутаминовая кислота
GlyT1,Глицин-1 переносчик
Gmean,Среднее геометрическое
GАК,G-ассоциированная киназа
HADS,Шкала депрессии
HAQ-DI,Индекс инвалидизации по опроснику оценки состояния здоровья (health assessment questionnaire-disability index)
HBsAg,Поверхностный антиген вируса гепатита в
HCV,Вирус гепатита с
HE,Эпизоды гипогликемии
HED,Человеческая эквивалентная доза
HEPM,"Human embryonic palatal mesenchyma, клеточная линия небной мезенхимы эмбриона человека"
HER2- РМЖ,Отрицательный по рецептору эпидермального фактора роста человека 2-го типа рак молочной железы
HFe,Рацион с высоким содержанием железа
HGF,Фактор роста гепатоцитов (hepatocyte growth factor)
HGPRT,Гипоксантингуанинфосфорибозилтрансфераза (hypoxanthineguanine phosphoribosyl transferase)
HIF,"Hypoxia inducible factor, фактор, индуцируемый гипоксией"
HIF-1a,"Фактор, индуцируемый гипоксией 1-альфа (hypoxia-inducible factor 1-alpha))"
HIF-α,"Hypoxia-inducible factor, фактор, индуцируемый гипоксией"
HIV/ВИЧ,Human immunodeficiency virus infection
HLM,Микросомы печени человека
HOMA-IR,Индекс инсулинорезистентности
HOMA‑IR,Homeostasis model assessment of insulin resistance  (индекс инсулинорезистентности)
HP,Нежелательные реакции
HPI,"Йодид пропидия в сочетании с hoescht (краситель, который применяется для определения клеток на стадии раннего и позднего апоптоза, некротизированных клеток)"
HR+,Гормон-рецептор-положительный (hormone receptor-positive)
HR+ РМЖ,Положительный по гормональным рецепторам рак молочной железы
HRV,Человеческий риновирус
HSA,Человеческийсывороточный альбумин
Hb,Гемоглобин
HbsAg,"Hepatits b surface antigen, поверхностный антиген вируса гепатита в"
Hh,Сигнальный путь hedgehog
Ht,Гематокрит
IAC,Независимый экспертный комитет (independent adjudication committee)
IARC,"International agency for research on cancer, международное агентство по изучению рака"
IB,Вестерн-блоттинг
IBDQ,Опросник для оценки воспалительных заболеваний кишечника (inflammatory bowel disease questionnaire)
IBE,"Iron-binding equivalent, железо-связывающий эквивалент"
ICR,Независимая централизованная оценка (independent central review)
ID,Идентификационный код (номер) пациента
IDE,"Insulin degrading enzyme, инсулино-деградирующий фермент"
IDF,"International diabetes federation,международная диабетическая федерация"
IDV,Индинавир
IFN,Интерферон (interferon)
IGA,Шкала тяжести атопического дерматита
IGF,Инсулиноподобный фактор роста (insulin-like growth factor)
IGF1,Инсулиноподобный фактор роста 1
IL-6,Интелейкин-6
IMAP,Анализ поляризации флуоресценции на основе сродства ионов
IMDC,"International metastatic renal cell carcinoma database consortium, международный консорциум по лечению метастатического рака почки"
IND,Investigational new drug
INF,Интерферон
INSTI/ИПЦИ,Ингибитор переноса цепи интегразы
IPSS-R,"Revised international prognostic scoring system, пересмотренная интернациональная прогностическая шкала"
IR,Немедленное высвобождение (immediate release)
IRR,Коэффициент инцидентности (incident rate ratio)
ISR,Скорость секреции инсулина
ISR/G,Скорость секреции инсулина с поправкой на глюкозу
ITT-популяция,Популяция всех рандомизированных пациентов (intention-to-treat)
IUPAC,Международный союз теоретической и прикладной химии (international union of pure and applied chemistry)
IWCLL,Критерии международного семинара по хроническому лимфоцитарному лейкозу
IgA,Иммуноглобулин a
IgG,Иммуноглобулин g
JAK,Янускиназа (janus kinase)
JAK-киназы,"Janus activated kinases, янус-активированные киназы"
JAK1 и JAK2,Янус-киназа 1 и 2
Jak-2,"Janus kinase 2, янус-киназа 2 типа"
Jmax,"Максимальный поток, опосредованный переносчиком"
K-BILD,Краткий опросник кинга по интерстициальным болезням легких (king's interstitial lung disease questionnair)
KIТ,"Протоонкогенная тирозин-протеинкиназа, кодируется геном c-kit"
KLH,Гемоцианин лимфы улитки (keyhole limpet hemocyanin)
KRAS,"Протоонкоген, кодирующий мембранный белок, мутации в семействе белков ras"
Kd,Константа равновесной диссоциации
Kel,Константа скорости элиминации лекарственного вещества
Km,Константа михаэлиса
LAmB,Липосомальный амфотерицин в
LBQ657,"Sacubitriliat, активный метаболит сакубрила"
LC-MS/MS,"Liquid chromatography with tandem mass spectrometry, жидкостная хроматография с тандемной масс-спектрометрией"
LCX,Левая периферическая коронарная артерия
LDH,Lactate dehydrogenase/лактатдегидрогеназа
LDV,Ледипасвир
LLNA,Оценка локальных лимфатических узлов
LNC,Пролиферативная реакция клеток лимфатических узлов
LPV,Лопинавир
Lck,Лимфоцит-специфическая протеинтирозинкиназа
M / MEAN,Среднее арифметическое
MACDP,Программа мониторинга врожденных пороков развития города атланта (metropolitan atlanta congenital defects program)
MAO-B,Моноаминоксидаза b
MAT,"Субъекты, находящиеся на поддерживающей терапии при расстройстве, связанном с употреблением опиоидов"
MATE1,Белок множественной резистентности и выведения токсинов 1
MCH,Среднее содержание гемоглобина в эритроците
MCP-1,Моноцитарный хемотаксический белок-1 (monocyte chemotactic protein-1)
MD,"Mid-dose, средняя доза"
MDA,Малоновый диальдегид
MDCK,Клетки мадин-дарби почек собак (madin-darby canine kidney)
MDZ,Мидазолам
MEAN,Среднее арифметическое
MED,Минимальная эффективная доза
MEK,Киназа митоген-активируемой протеинкиназы (mitogen-activated protein kinase kinase)
MEN2,Множественная эндокринная неоплазия 2-го типа
MER,"Протоонкогенная тирозин-протеинкиназа, кодируется геном mertk"
MHRD,Максимальная рекомендуемая человеку доза
MMAD,Масс-медианный аэродинамический диаметр (mass-median aerodynamic diameter)
MMC,Митомицин с
MMF,Микофенолата мофетил
MMRM,Модель смешанных эффектов для многократных измерений
MNC,Мононуклеарные клетки
MPA,Микофенолат натрия
MPE,Средний фотоэффект
MR,Модифицированное высвобождение (modified release)
MRT(0-24),Среднее время удерживания в течение 24 ч
MSDS,"Material safety data sheet, паспорт безопасности"
MSKCC,Мемориальный онкологический центр им. слоуна‒кеттеринга (memorial sloan–kettering cancer center)
MVC,Маравирок
MЛВ,Межлекарственное взаимодействие
N.c.,Не рассчитано (not calculated)
NAC,N-ацетилцистеин
NADPH,Никотинамиддинуклеотидфосфат
NAPSI,Индекс тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI100,100% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI50,50% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI75,75% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NCI CTCAE,Общие терминологические критерии нежелательных явлений национального института онкологии сша (national cancer institute common terminology criteria for adverse events)
NCI-ODWG,"Национальный институт онкологии, рабочая группа по нарушению функции органа (national cancer institute classifications for hepatic dysfunction)"
NEP,Неприлизин
NF-kB (RANK),Рецептор-активатор ядерного транскрипционного фактора
NF-κB,"Транскрипционный фактор (ядерный фактор «каппа-би»),   nuclear factor kappa-light-chain-enhancer of activated b cells"
NFV,Нелфинавир
NHE,Na+/h+-обменники
NIH,"National institutes of health, национальный институт здоровья"
NK2,Рецептор тахикининов типа 2
NO,Оксид азота
NOEC,"Концентрация, не вызывающая видимых отрицательных эффектов"
NPH,Человеческий инсулин нейтрал протамин хагедорн
NPR,"Natriuretic peptide receptor, натрийуретический рецептор"
NPY,Нейропептид y
NR,Нейтральный красный
NRAS,"Онкоген n-ras, кодирующий мембранный белок, мутации в семействе белков ras"
NRS,Числовая шкала оценки зуда
NRVM,Миоциты желудочков новорожденных крыс
NS3/4A,Неструктурный белок 4а
NS5A,Неструктурный белок 5а
NSAA,Нестероидный антиандогенный препарат (nonsteroidal antiandrogen)
NSTEMI,"Non-st-elevation myocardial infarction, инфаркт миокарда без подъема сегмента st"
NTDT,"Non-transfusion-dependent thalassemias, талассемии, не зависящие от переливания крови"
NTEL,"No toxic effect level, уровень препарата без токсического эффекта"
NVP,Невирапин
NZW,Белые новозеландские (кролики) (new zealand white)
Numb-associated kinase,Члены семейства нечувствительных киназ
O2,Молекулярный кислород
OARAC,Консультативный совет сша по исследованиям в области спид (the office of aids research advisory council)
OAT1,Транспортер органических анионов 1
"OATP1B1, OATP1B3","Ингибиторы полипептидов 1b1 и 1b3, переносящих органические анионы"
Oct-02,Переносчик органических катионов 2 (organic cation transporter 2 )
OR,Отношение шансов (odds ratio)
OS,Общая выживаемость
OVA,Овальбумин
PAI-1,Ингибитор активатора плазминогена
PAQLQ,Опросник оценки качества жизни - детская версия опросника aqlq
PARP,Поли (адф-рибоза)-полимераза
PASI,Улучшение индекса площади и тяжести псориаза (psoriasis area and severity index)
PASI75,75% улучшение индекса площади и тяжести псориаза (psoriasis area and severity index)
PAWP,Давление заклинивания в легочной артерии (pulmonary arterial wedge pressure)
PBT,"Стойкие, биоаккумулятивные токсичные вещества"
PCA,Пассивная кожная анафилаксии (passive cutaneous anaphylaxis)
PCSA,Возможно клинически значимое отклонение
PCWG2,Рабочая группа 2 по клиническим исследованиям рака предстательной железы (prostate cancer clinical trials working group 2)
PD-1,Белок запрограммированной гибели клеток-1 (programmed cell death protein-1)
PD-L1,Лиганд запрограммированной смерти-1 (programmed death ligand-1)
PD/ ФД,Фармакодинамика
PEP,Первичная конечная точка оценки эффективности и переносимости
PGA,Общая оценка врачом (physician’s global assessment)
PHD,"Prolyl hydroxylase domain (enzyme), (белок) пролилгидроксилазного домена"
PHE,Фенилэфрин
PI3K,Фосфоинозитол-3-киназа (phosphoinositide 3-kinase)
PIB,Пибрентасвир
PIF,Коэффициент фотораздражения
PK/ ФК,Фармакокинетика
PKB,"Protein kinase b, протеинкиназа тип в"
PND,Поснатальный день
PPAR-γ,"Рецепторы, активируемые пероксисомными пролифераторами"
PQ,Интервал между волной r и интервал qrs сердечного ритма на электрокардиограмме
PR,Рецепторы прогестерона (progesterone receptor)
PRL,Пролактин (prolactin)
PSADT,Время удвоения простатспецифического антигена
PSS,"Phenotypic susceptibility score, оценка фенотипической восприимчивости"
PTEN,"Фосфатаза с двойной субстратной специфичностью, продукт гена (phosphatase and tensin homolog deleted on chromosome)"
PTLD,Посттрансплантационный лимфопролиферативный синдром
PVR,Легочное сосудистое сопротивление (pulmonary vascular resistance)
PWID,"Субъекты, употребляющих инъекционные наркотики"
PYE,Пациенто-лет воздействия
PgR,Прогестероновый рецептор (progesterone receptor)
PgR+,Позитивная по рецептору прогестерона [опухоль]
Ph,"Philadelphia chromosome, «филадельфийская» хромосома"
Ph+,"Клетки, содержащие филадельфийскую хромосому"
PtGA,Шкала общей оценки пациентом заболевания (patient global assessment of disease)
Ptch1,12-сегментный трансмембранный рецептор patched
QD,Ежедневно
QLQ,Опросник для оценки качества жизни (quality of life questionnaire)
QRS,"Желудочковый комплекс, который регистрируется во время возбуждения желудочков сердца на электрокардиограмме"
QTcB,"Ширина интервала qt, скорректированная по формуле базетта"
QWBA,Количественная авторадиография всего тела
RAL,Ралтегравир
RAP,Популяция анализа резистентности
RAS,Малый g-белок (rat sarcoma virus)
RBC,Эритроцит
RBV,Рибавирин
RDW,Ширина распределения эритроцитов
RF,Ревматоидный фактор
RGS2,Регулятор передачи сигналов g-белка 2
RIF,Рифампин
ROS,"Reactive oxygen species, активные формы кислорода"
ROS1,"Протоонкогенная тирозин-протеинкиназа ros, кодируется геном ros1"
RPV,Рилпивирин
RQ,Дыхательный коэффициент
RSD,"Residual standard deviation, остаточное стандартное отклонение"
RSV,Респираторно-синцитиальный вирус
RTV,Ритонавир
"RTV, r",Ритонавир
RW,Реакция вассермана
Ras,"Retrovirus-associated sarcoma gene, ген, связанный с саркомой, вызываемой ретровирусом у крыс"
RdRp,Рнк-зависимая рнк полимераза
RЕТ,"Тирозинкиназный рецептор,, локализован на хромосоме 10 (10q11.2) (rearranged during transfection)"
SALT,Шкала оценки степени тяжести алопеции
SARS-CoV-2,"Новый коронавирус, вызвавший пандемию covid-19"
SCAR,"Severe cutaneous adverse reaction, серьезные кожные нежелательные реакции"
SCF,Фактор стволовых клеток (stem cell factor)
SCID,Тяжелый комбинированный иммунодефицит
SCORE,10-летний абсолютный риск фатальныхсердечно-сосудистых осложнений для лиц в возрасте 40-65 лет (systematic coronary risk evaluation)
SDAI,Упрощенный индекс активности болезни
SDF,Фактор стромальных клеток (stromal cell-derived factor)
SE,Стандартная ошибка
SF-36,"Краткая форма шкалы оценки качества жизни, состоящей из 36 пунктов (short form 36 item)"
SF-36v2,"Краткая форма шкалы оценки качества жизни, состоящей из 36 пунктов версия 2 (short form item 36 version 2)"
SGLT-2,Ингибиторы натрий-глюкозного контранспортера
SGLT1,Натрий-глюкозный котранспортер 1-го типа
SGRQ,Анкета госпиталя святого георга для оценки дыхательной функции (saint george’s respiratory questionnaire)
SJS,Синдром стивенса-джонсона
SLD,Сумма наибольших диаметров
SMO,7-сегментый трансмембранный белок smoothend
SMQ,Стандартизованный запрос по терминам meddra (standardized meddra query)
SNP,Однонуклеотидный полиморфизм
SOD,Супероксиддисмутаза
SOF,Софосбувир
SQV,Саквинавир
SQV/r,Саквинавир/ ритонавир
SSC,Подсчет импульсов в твердой фазе (solid scintillation counting)
STEMI,"St-elevation myocardial infarction, инфаркт миокарда с подъемом сегмента st"
STZ,Стрептозотоцин
SUCRA,Поверхность под кривой совокупного ранжирования (surface under the cumulative ranking)
SVR12,Устойчивый вирусологический ответ через 12 недель после прекращения лечения
SYE,Пациенто-лет применения препарата
Src,Протоонкогенная протеинтирозинкиназа
SТАТ,Транспортеры сигнала и активаторы транскрипции
T-20,Энфувиртид
T/C,Тест/контроль
T1/2β,Терминальный период полувыведения
TAC,Такролимус
TBDR,Реестр врожденных дефектов техаса (texas birth defects registry)
TBF,Тканевой кровоток
TC50,Средняя токсическая концентрация
TDAR,Первичный t-клеточный иммунный ответ
TDR,Трансмуральная дисперсия реполяризации (transmural dispersion of repolarisation)
TE-PRS,"Пациенты, ранее получавшие лечение"
TEAE,"Нежелательные явления, возникшие во время лечения, нежелательные явления, отсутствовавшие до начала лечения, или уже имеющиеся явления, интенсивность или частота которых ухудшаются после лечения"
