abbreviation,description
AUC0-∞,Площадь под фармакокинетической кривой «концентрация-время» от нуля до бесконечности
AUC0-∞,Площадь под фармакокинетической кривой «концентрация-время» с момента приёма препарата до бесконечности
AUC0-∞,"Площадь под фармакокинетической кривой «концентрация-время», рассчитанная от нуля до бесконечности"
AUC0-∞,"Площадь под фармакокинетической кривой, начиная с нулевого значения времени до бесконечности"
AUC0–24,Площадь под кривой «плазменная концентрация — время» с момента приема лекарственного препарата до 24 ч
"AUC24,ss",Площадь под фармакокинетической кривой «концентрация-время» в равновесном состоянии за 24 ч
AUC24h,Площадь под кривой зависимости концентрации в плазме от времени с момента времени 0 до 24 часов после введения препарата
AUCinf,Площадь под кривой зависимости концентрации в плазме от времени с момента времени 0 после введения препарата до бесконечности
AUCss,Площадь под фармакокинетической кривой «концентрация-время» в равновесном состоянии
AUCtau,Площадь под кривой зависимости концентрации в плазме от времени в период применения препарата
AUCtotal,Степень всасывания
"AUCτ,ss",Площадь под фармакокинетической кривой «плазменная концентрация–время» в течение интервала дозирования в равновесном состоянии ()
AUEC,Площадь под фармакокинетической кривой эффекта
AUMC,«under the moment curve» - площадь под кривой произведение времени на концентрацию лекарственного вещества - время
AZ5104,Лабораторный шифр метаболита осимертиниба
AZ7550,Лабораторный шифр метаболита осимертиниба
AZA,Азатиоприн
AZD9291,Лабораторный шифр осимертиниба
AZT,Азидотимидин
Abl,"Abelson murine leukemia viral oncogene homolog, протонкоген абельсона"
Akt,Протеинкиназа в (protein kinase b)
Amax,Максимальная активность против фактора ха в плазме крови
Apo,Аполипопротеин (apolipoprotein)
ApoE,Аполипопротеин e
BCLC,Barcelona clinic liver cancer (барселонская система стадирования) печеночно-клеточного рака
BCOP,Анализ прозрачности / непрозрачности бычьей роговицы
BCR,"Breakpoint cluster region gene, ген точечного разрыва кластерного региона"
BCR,В-лимфоцитарный рецептор
BCR,Рецепторы в-клеток
BCR-ABL,Мутированный киназный рецептор
BCR-Abl,Bcr-abl-тирозинкиназа
BCRP,"Breast cancer resistance protein, белок устойчивости к раку груди"
BCRP,Breast cancer resistance protein/белок устойчивости рака молочной железы
BCRP,Белка резистентности рака молочной железы
BCRP,Белок резистентности рака молочной железы
BCRP,Белок резистентности рака молочной железы (breast cancer resistance protein)
BCRP,Белок сопротивления раку молочной железы
BCRP,Белок устойчивости к раку молочной железы
BCRP,Белок устойчивости рака молочной железы
BCRP,Белок устойчивости рака молочной железы (breast cancer resistance protein)
BCS,Биофармацевтическая классификационная система
BCS,Система биофармацевтической классификации
BCS,Системе биофармацевтической классификации (biopharmaceutical classification system)
BDC,Канюлированный желчный проток
BIBF 1202,Метаболит нинтеданиба
BIC,Биктегравир
BIC/B,Биктагревир
BIC/FTC/TAF,Биктегравир/тенофовир алафенамид/эмтрицитабин
BICR,Независимая централизованная оценка в слепом режиме (blinded independent central review)
BLC,Клетки базофильного лейкоза (basophilic leukemia cells)
BMMC,Тучныеклеткикостногомозгамышей (bone marrow-derived mast cells)
BNP,"B-type natriuretic peptide, b-тип натрийуретический пептид"
BONF,Нейротрофический фактор из тканей мозга
BOV,Дисперсия между событиями
BPAR,Подтвержденные биопсией эпизоды острого отторжения
BPI,Краткий опросник оценки боли (brief pain inventory short form)
BR,Бендамустин в комбинации с ритуксимабом
BR,Ритуксимаб
BRAF,"B-raf протоонкоген, серин/треонинкиназа (b-raf proto-oncogene, serine/threonine kinase)"
BRAF,Протоонкоген b-raf
BRAF,Серин/треониновая протеинкиназа
BRCA,Ген рака молочной железы (breast cancer gene)
BSA,"Body surface area, площадь поверхности тела"
BSA,Площадь поверхности тела
BSC,Наилучшая поддерживающая терапия
BSEP,Белок-переносчик солей желчных кислот (bile salt export pump)
BSEP,"Помпа, выводящая соли желчных кислот"
BSV,Межсубъектная вариабельность
BTK/ТКБ,Тирозинкиназа брутона
BUN,"Биохимический показатель, характеризующий уровень содержания мочевины в крови (blood urea nitrogen)"
BVDV,Вирус диареи крупного рогатого скота
BZD,Бензодиазепины
"Bethesda Thyroid Classification,",Стандартизированная система описания протокола цитологического исследования пунктатов щитовидной железы.
Bridge-терапия,"Терапия «ожидания»– неоадъювантное или иное противоопухолевое лечение у пациентов, ожидающих трансплантацию печени"
C24,Минимальная концентрация через 24 часа после приема лекарственного вещества
CACO-2,Иммортализованная клеточная линия клеток колоректальной аденокарциномы человека
CART,"Пептид, происходящий из регулируемого кокаином и амфетамином транскрипта"
CC50,Средняя цитотоксическая концентрация
CCK1,Рецептор холецистокинина а
CCR5,C-c-рецептор хемокина
CD,Кластер дифференцировки (cluster of differentiation)
CD (SD),Крысы линии sprague–dawley
CD (SD) BR,Лабораторные крысы спрег-доули
CD-1,Кластер дифференцировки (cluster of differentiation)
CD4,Рецептор
CDAI,Индекс клинической активности заболевания (clinical disease activity index)
CDAI,Клинический индекс активности болезни
CDK,Циклинзависимаякиназа (cyclin-dependent kinase)
CDK4/CDK6,Циклин-зависимые киназы 4 и 6
CEF,Первичная комбинированная конечная точка неэффективности
CES,"Carboxylesterase, карбоксилэстераза"
CES1,Карбоксилэстераза типа 1 (сarboxylesterase 1)
CHADS2,Шкала оценки риска инсульта у больных фибрилляцией/трепетанием предсердий
CHAQ,Опросник оценки здоровья детей (children's health assessment questionnaire)
CHMP,Committee for medicinal products for human use
CHMP,Комитет по лекарственным средствам для медицинского применения
CHO,Клетки яичников китайских хомяков (сhinese hamster ovary)
CHO,Яичник китайского хомяка (chinese hamster ovary)
CKD-EPI,Новая формула для оценки скф (chronic kidney desease epidemiology collaboration)
CL,"Clearance, выведение"
CL,Клиренс
CL,Общий плазменный клиренс
CL,Плазменный клиренс
CL/F,Кажущийся общий клиренс
CL/F,Клиренс при внесосудистом введении
CL/F,Общий клиренс
CL/F,Общий плазменный клиренс после перорального приема
CLCR,Клиренс креатинина
CLCR,Клиренс креатинина (creatinine clearance)
CLL,Chronic lymphocytic leukemia
CLNR,Внепочечный клиренс
CLR,Почечный клиренс
CLp,Средний плазменный клиренс
CLu,Собственноый клиренс
CNP,"C-type natriuretic peptide, с-тип натрийуретический пептид"
CO2,Оксид углерода iv
COBI,Кобицистат
COVID-19,Новая коронавирусная инфекция
CP,Циклофосфамид
CP-690550,Лабораторный шифр тофацитиниба
CP-690550-10,"Cp-690550 в форме водной суспензии в носителе, состоящем из 5% метилцеллюлозы и 0,025% твин-80"
CPMP,Committee for proprietary medicinal products
CR,Контролируемое высвобождение (controlled release)
CRC,Кривая концентрация-ответ
CRF,"Circulating recombinant forms, циркулирующие рекомбинантные формы"
CSF1R,Киназы рецептора колониестимулирующего фактора
CTCAE,Common terminology criteria for adverse events
CTCAE,Common terminology criteria for adverse events / общая терминология критериев нежелательных явлений
CTCAE,Common terminology criteria for adverse events / общие терминологические критерии нежелательных явлений
CTCAE,"Common terminology criteria for adverse events, критерии оценки степени тяжести нежелательных реакций"
CTCAE,"Common terminology criteria for adverse events, общие критерии оценки степени тяжести нежелательных явлений"
CTCAE,Общая терминология критериев для оценки нежелательных явлений
CTCAE,"Общие терминологические критерии для нежелательных явлений, разработанные национальным институтом рака"
CTEPH,Хроническая тромбоэмболическая легочная гипертензия (chronic thromboembolic pulmonary hypertension)
CTLA-4,"Cytolytic t-lymphocyte-associated antigen, антиген 4 цитотоксических т лимфоцитов"
CV,Коэффициент вариабельности
CV,Коэффициент вариации
CV,Коэффициентвариации (coefficient of variation)
CV,"Сoefficient of variation, коэффициент вариации"
CV,Среднее значение абсолютной биодоступности
CVOT,Исследование сердечно-сосудистых исходов
CVintra,Intraindividual variability / внутрииндивидуальная вариабельность
CVintra,Коэффициент внутрииндивидуальной вариабельности
CYP,"Cytochrome p, цитохром р"
CYP,Система цитохрома p450
CYP,Цитохром
CYP,Цитохром c450
CYP,Цитохром p450
CYP,Цитохром p450 (cytochrome p450)
CYP,Цитохром р450
CYP,Цитохром с450
CYP,Цитохромом (cytochrome)
CYP450,Цитохром p450
CYP450,Цитохром р450
CaMK2d,Кальций/кальмодулинзависимая протеинкиназа
CaMK2g,Кальций/кальмодулинзависимая протеинкиназа ii ℽ
CaMKII,Кальмодулин-зависимая протеинкиназа ii
Cav,Средняя концентрация
Ceff,Фармакологически эффективная концентрация
Child – Pugh,"Классификация чайлда – пью, оценочная методика, предназначенная для определения тяжести циррозов печени и выживаемости пациента"
Child – Pugh,"Чайлда — пью, оценочная методика, предназначенная для определения тяжести циррозов печени и выживаемости пациента"
Child–Pugh,"Классификация чайлд-пью, оценочная методика, предназначенная для определения тяжести циррозов печени и выживаемости пациента"
Cl,Клиренс
Cl,Общий клиренс
Cl/F,Общий клиренс
Clast,Последняя ненулевая концентрация лекарственного вещества в крови
ClinicalTrials.gov Identifier,Идентификатор исследования на сайте clinicaltrials.gov
Clt,Общий клиренс препарата
Cmax,Максимальная концентраци
Cmax,Максимальная концентрация
Cmax,Максимальная концентрация в плазме
Cmax,Максимальная концентрация вещества в крови
Cmax,Максимальная концентрация вещества в плазме крови
Cmax,Максимальная концентрация лекарственного вещества в крови
Cmax,Максимальная концентрация лекарственного вещества в плазме крови
Cmax,Максимальная концентрация препарата в плазме крови
Cmax,Максимальная концентрация препарата в сыворотке или плазме крови
Cmax,Максимальная плазменная концентрация
Cmax,Пиковые концентрации
Cmaxss,Максимальная концентрация в плазме во время интервала дозирования в равновесном состоянии
Cmaxss,Максимальная концентрация препарата в равновесном состоянии
Cmin,Минимальная концентрация
Cmin,Минимальная концентрация в плазме
Cmin,Минимальная концентрация лекарственного вещества в плазме крови
Cmin,Минимальная плазменная концентрация
Covid-19,"Инфекция, вызванная новым коронавирусом sars-cov-2"
CrCl,Клиренс креатинина
CsA,Циклоспорин
Ctrough,Концентрация перед очередным введением
"Ctrough,ss",Концентрация лекарственного вещества в плазме в стационарном состоянии
Cys,Цистеин
CРБ,C-реактивный белок
DAS28-4(СОЭ),"Четыре переменные для 28 суставов по шкале активности заболевания (disease activity score), включая скорость оседания эритроцитов"
DAS28-hsCRP,Показатель активности заболевания в 28 суставах с помощью высокочувствительного анализа с-реактивного белка
DAT,Переносчик дофамина
DCV,Даклатасвир
DDW,Дистиллированная деионизированная вода
DEX,"Deferasirox, деферазирокс"
DFN,"Deferipron, деферипрон"
DFO,"Deferoxamine, дефероксамин"
DICER1,"Ген, кодирующий белок, расположен на длинном плече хромосомы 14 (14q32.13)"
DIRKO,Линия мышей нокаутных по генам рецепторов гормонов-инкретинов
DL0,Максимальная нелетальная доза
DLCO,Diffusing capacity for carbon monoxide / диффузионная способность легких по монооксиду углерода
DLQI,Дерматологический индекс качества жизни
DLV,Делавирдин
DNA/ДНК,Дезоксирибонуклеиновая кислота
DOR,Доравирин
DP,Дифосфат
DPP,Дипептидил-пептидаза
DPP-IV,Ингибитор дипептидилпептидазы-4
DRESS,"Drug rash with eosinophilia and systemic symptoms, лекарственная сыпь с эозинофилией и системными проявлениями"
DRESS,Лекарственная реакция с эозинофилией и системными проявлениями (drug reaction (or rash) with eosinophilia and systemic symptoms)
DRESS,Лекарственно-индуцированная реакция гиперчувствительности
DRESS,Лекарственно-индуцированная реакция с эозинофилией и системными симптомами (drug rush with eosinophilia and systemic symptoms)
DRV,Дарунавир
DRV/r,"Дарунавир, бустированный ритонавиром"
DRV/r,Дарунавир/ ритонавир
DSS,"Dahl salt-sensitive rat, перегруженные солью крысы"
DTG,Долутегравир
DTSQ,Опросник удовлетворенности от лечения диабета
Dx+,Диагностированный (diagnostic-positive)
Dx-,Недиагностированный (diagnostic-negative)
EAC,Комитет по оценке нежелательных явлений
EACS,European aids clinical society
EACS,Европейское клиническое общество по спид (european aids clinical society)
EACS,Европейское клиническое общество спида (european aids clinical society)
EASD,Европейская ассоциация по изучению сахарного диабета
EASI,Индекс площади и тяжести экземы
EASI,Индекс площади и тяжести экземы (eczema area and severity index)
EBSS,Сбалансированный солевой раствор эрла
EC50,"Effective dose 50, среднеэффективная концентрация"
EC50,Медианная эффективная концентрация
EC50,Медианная эффективная концентрация (median effective concentration)
EC50,Полумаксимальная эффективная концентрация
EC50,Средняя эффективная концентрация
ECE,"Endothelin converting enzyme, эндотелин-превращающий фермент"
ECOG,(eastern cooperative oncology group
ECOG,Восточная объединенная группа онкологов
ECOG,Восточная объединенная онкологическая группа (eastern cooperative oncology group)
ECOG,Восточная объединенная онкологическая группа сша (eastern cooperative oncology group)
ECOG,Восточной кооперативной онкологической группы
ECOG,"Пятибальная шкала, которая используется для оценки общего состояния онкологического больного (eastern cooperative oncology group)"
ED50,50 процентная эффективная доза
ED50,50% эффективная концентрация
ED50,"Effective dose 50/ доза, обеспечивающая 50% максимального эффекта"
ED50,Median effective dose / полуэффективная доза
ED50,Полуэффективная доза
ED50,"Полуэффективная доза – доза вещества, которая обеспечивает требуемый результат у половины (50%) используемых в эксперименте единиц"
ED50,"Полуэффективная доза — доза вещества, которая обеспечивает требуемый результат у половины (50%) используемых в эксперименте единиц"
EFS,"Event-free survival, бессобытийная выживаемость"
EFV,Эфавиренз
EGFR,"Epidermal growth factor receptor, рецептор эпидермального фактора роста"
EGFR,Рецептор эпидермального фактора роста
EGFR,Рецептор эпидермального фактора роста (epidermal growth factor receptor)
EGFR,Рецепторы эпидермального фактора роста
EMA,European medicines agency
EMA,European medicines agency / европейское агентство по лекарственным средствам
EMA,European medicines agency европейское агентство лекарственных средств
EMA,"European medicines agency,  европейское агентство лекарственных средств"
EMA,"European medicines agency, европейское агентство лекарственных средств"
EMA,Европейское агентство по лекарственным средствам
EMA,Европейское агентство по лекарственным средствам (european medicines agency)
EMA,Европейское медицинское агентство
EMA,Европейское медицинское агентство (european medicines agency)
ENF,Энфувиртид
EORTC,Европейская организация по исследованию и лечению рака (european organisation for research and treatment of cancer)
EPC,"Established pharmacologic class, установленный фармакологический класс"
EQ-5D,Европейский опросник для оценки качества жизни в 5 категориях (euroqol 5-dimension)
ER,Коэффициент экспозиции
ER,Коэффициент экспозиции/коэффициент воздействия
ER,Рецепторы эстрогена (estrogen receptor)
ER,Эстрогеновый рецептор
ER+,Позитивная по рецептору эстрогена [опухоль]
ER+,Эстроген-положительный (estrogen receptor-positive)
ER-,Негативная по рецептору эстрогена [опухоль]
ERAUC,"Коэффициент экспозиции, основанный на auc"
ERK,Киназа регулируемая внеклеточными сигналами (extracellular signal-regulated kinase)
"ERK (Ras-ERK, MAPK/ERK)","Митоген-активируемая протеинкиназа, один из хорошо изученных сигнальных путей mapk (mitogen-activated protein kinase)"
ESI,Источник ионизации электрораспылением
ESMO,Европейское общество медицинской онкологии
ESV,Элсульфавирин
ETR,Этравирин
EULAR,Критерии ревматоидного артрита европейской антиревматической лиги
EVG,Элвитегравир
EVG/c,Элвитегравир бустированный кобицистатом
EСOG,Eastern cooperative oncology group
F,Абсолютная биодоступность
F,Биодоступность
F,Самки
"F, Ж",Самки
FACIT-F,Опросник для оценки функционального состояния при лечении хронического заболевания-подшкале усталости (functional assessment of chronic illness therapy-fatigue)
FACT-P,Шкала функциональной оценки противораковой терапии — рак предстательной железы (functional assessment of cancer therapy - prostate)
FAERS,Fda adverse event reporting system / система сообщений о нежелательных явлениях fda
FAERS,Система отчетов о нежелательных явлениях управления по санитарному надзору за качеством пищевых продуктов и медикаментов сша (food and drug administration adverse event reporting system)
FAS,Вся анализируемая выборка (full analysis set)
FAS,Полная анализируемая совокупность
FAS,Полный набор данных для анализа (full analysis set)
FBS,"Fetal bovine serum, фетальная бычья сыворотка"
FDA,Food and drug administration
FDA,Food and drug administration / управление по санитарному надзору за качеством пищевых продуктов и медикаментов
FDA,Food and drug administration / управлением по контролю за качеством продуктов питания и лекарственных средств сша
FDA,"Food and drug administration,  управление по контролю качества пищевых продуктов и лекарственных средств"
FDA,"Food and drug administration, управление по санитарному надзору за качеством пищевых продуктов и медикаментов"
FDA,U.s. food and drug administration
FDA,Управление по контролю за качеством пищевых продуктов и лекарственных препаратов сша (food and drug administration)
FDA,Управление по контролю за качеством пищевых продуктов и лекарственных средств соединенных штатов америки (food and drug administration)
FDA,Управление по контролю за качеством пищевых продуктов и лекарственных средств сша
FDA,Управление по контролю за качеством продуктов и медикаментов
FDA,Управление по санитарному надзору за качеством пищевых продуктов и медикаментов
FDA,Управление по санитарному надзору за качеством пищевых продуктов и медикаментов (u.s. food and drug administration)
FDA,Управление по санитарному надзору за качеством пищевых продуктов и медикаментов сша (food and drug administration)
FDA,Управление сша по контролю за качеством пищевых продуктов и лекарственных средств
FDC,Комбинация фиксированных доз
FGFR,Рецепторы фактора роста фибробластов
FGFR,Рецепторы фактора роста фибробластов (fibroblast growth factor receptor)
FIH,"Factor inhibiting hif, фактор ингибирования hif"
FIP1L1,"Factor interacting with poly(a) polymerase l1; фактор, взаимодействующий с поли(а)-полимеразой"
FKB-12,Fk-связывающий белок 12
FLT3LG,"Лиганд тирозинкиназы 3, родственный fms (flt3lg), кодируется геном flt3lg (fms-related tyrosine kinase 3 ligand)"
FLVK,Fgf (фактор роста фибробластов)-подобная киназа vegf
FMI,"Окончательный вариант, предназначенный для обращения на рынке"
FMO,Флавинсодержащая монооксигеназа
FMO,Флавинсодержащие ферменты монооксигеназы
FMO3,"Мутация, ассоциированная с триметиламинурией"
FOLFIRI,"Фторурацил, лейковорин, иринотекан"
FOLFOX,"Фторурацил, лейковорин, оксалиплатин"
FPD,Диаметр мелкодисперсных частиц (fine particle diameter)
FPV/r,Фосампренавир / ритонавир
FTC,Эмтрицитабин
FTC/F,Эмтрицитабин
Fe (0-t),"Доля от введенной дозы вещества (%), экскретируемой с мочой в течение t количества часов после ведения"
Flt-3,Fms-подобная протеинтирозинкиназа
Frel,Относительная биодоступность
G-CSF,Гранулоцитарно-макрофагальный колониестимулирующий фактор
G-CSF,Гранулоцитарный колониестимулирующий фактор (granulocyte colony-stimulating factor)
GAS6 (AXL),Рецепторная тирозинкиназа семейства axl активируются витамин к-зависимым белком gas6
GCP,Good clinical practice / надлежащая клиническая практика
GCP,"Good clinical practice, надлежащая клиническая практика"
GCP,Надлежащая клиническая практика
GCP,Надлежащая клиническая практика (good clinical practice)
GD,День гестации
GINA,Глобальная инициатива по бронхиальной астме (global initiative for asthma)
GIP,Желудочный ингибитор полипептида
GLDH,Glutamate dehydrogenase/глутаматдегидрогеназа
GLE,Глекапревир
GLI,"Glioma-associated oncogene, онкоген, ассоциированный с глиомой"
GLP,"Good laboratory practice, надлежащая лабораторная практика"
GLP,Надлежащая лабораторная практика
GLP,Надлежащая лабораторная практика (good laboratory practice)
GLP,Правила надлежащей лабораторной практики
GLUT,Независимый от na+ транспортер
GM,Геометрическое среднее (geometric mean)
GMR,Отношение геометрических средних (geometric mean ratio)
GMR,Среднее геометрическое отношение
GP,Гликопротеин (glycoprotein)
GSS,"Genotypic susceptibility score, оценка генотипической восприимчивости"
GST,Глутатион-s-трансфераза (glutathione-s-transferase)
GT,Генотип
Glu,Глутаминовая кислота
GlyT1,Глицин-1 переносчик
Gmean,Среднее геометрическое
GАК,G-ассоциированная киназа
HADS,Шкала депрессии
HAQ-DI,Индекс инвалидизации по опроснику оценки состояния здоровья (health assessment questionnaire-disability index)
HBV,"Hepatitis b virus, вирус гепатита в"
HBV,Вирус гепатита b
HBV,Вирус гепатита в
HBV,Вирус гепатита в (hepatitis в virus)
HBsAg,Поверхностный антиген вируса гепатита в
HCV,Вирус гепатита с
HD,"High dose, высокая доза"
HD,Высокая доза
HE,Эпизоды гипогликемии
HED,Человеческая эквивалентная доза
HEK293,Клетки почки эмбриона человека
HEK293,Клетки почки эмбриона человека 293 (human embryonic kidney 293)
HEK293,Клетки эмбриональной почки человека (human embryonic kidney)
HEK293,"Клеточная линия, полученная из эмбриональных почек человека"
HEPM,"Human embryonic palatal mesenchyma, клеточная линия небной мезенхимы эмбриона человека"
HER2,"Human epidermal growth factor receptor, рецептор эпидермального фактора роста человека, erbb2"
HER2,Рецептор человеческого эпидермального фактора роста 2 типа (human epidermal growth factor receptor)
HER2,Рецептор эпидермального фактора роста человека 2 типа (human epidermal growth factor receptor 2)
HER2+,Наличие экспрессии рецептора эпидермального фактора роста человека 2 типа
HER2+,Позитивная по her2 [опухоль]
HER2-,Негативная по her2 [опухоль]
HER2-,Отсутствие экспрессии рецептора эпидермального фактора роста человека 2 типа
HER2- РМЖ,Отрицательный по рецептору эпидермального фактора роста человека 2-го типа рак молочной железы
HFe,Рацион с высоким содержанием железа
HGF,Фактор роста гепатоцитов (hepatocyte growth factor)
HGPRT,Гипоксантингуанинфосфорибозилтрансфераза (hypoxanthineguanine phosphoribosyl transferase)
HIF,"Hypoxia inducible factor, фактор, индуцируемый гипоксией"
HIF-1a,"Фактор, индуцируемый гипоксией 1-альфа (hypoxia-inducible factor 1-alpha))"
HIF-α,"Hypoxia-inducible factor, фактор, индуцируемый гипоксией"
HIV/ВИЧ,Human immunodeficiency virus infection
HLA,"Human leukocyte antigens, главный комплекс гистосовместимости"
HLA,Лейкоцитарный антиген человек
HLA,Человеческий лейкоцитарный антиген (human leukocyte antigen)
HLM,Микросомы печени человека
HOMA-B,Бета-клетки в гомеостатической модели оценки
HOMA-B,Индекс хома функции β-клеток
HOMA-IR,Индекс инсулинорезистентности
HOMA‑IR,Homeostasis model assessment of insulin resistance  (индекс инсулинорезистентности)
HP,Нежелательные реакции
HPI,"Йодид пропидия в сочетании с hoescht (краситель, который применяется для определения клеток на стадии раннего и позднего апоптоза, некротизированных клеток)"
HR,Отношение риска события в определенный момент времени (hazard ratio)
HR,Отношение рисков (hazard ratio)
HR,Отошение рисков (hazard ratio)
