abbreviation,description
BPAR,Biopsy-Proven Acute Rejection (подтвержденные биопсией эпизоды острого отторжения)
BPI,Brief Pain Inventory (краткий опросник оценки боли)
BRCA,Breast Cancer Gene (ген рака молочной железы)
BSC,Best Supportive Care (наилучшая поддерживающая терапия)
BSV,Between-Subject Variability (межсубъектная вариабельность)
BTK,Bruton’s Tyrosine Kinase (тирозинкиназа Брутона)
ТКБ,тирозинкиназа Брутона
BUN,Blood Urea Nitrogen (азот мочевины в крови)
BVDV,Bovine Viral Diarrhea Virus (вирус диареи крупного рогатого скота)
BZD,Benzodiazepines (бензодиазепины)
Bridge-терапия,"Bridge Therapy (терапия «ожидания»): Неоадъювантное или иное противоопухолевое лечение для пациентов, ожидающих трансплантацию печени"
C24,Concentration at 24 Hours (концентрация через 24 часа после приема лекарственного вещества)
CACO-2,Caco-2 (иммортализованная клеточная линия колоректальной аденокарциномы человека)
CART,"Cocaine- and Amphetamine-Regulated Transcript (пептид, происходящий из регулируемого кокаином и амфетамином транскрипта)"
CC50,"50% Cytotoxic Concentration (средняя цитотоксическая концентрация): Концентрация вещества, при которой гибнет 50% клеток в эксперименте"
CCK1,Cholecystokinin Receptor 1 (рецептор холецистокинина A)
CCR5,C-C Chemokine Receptor 5 (C-C-рецептор хемокина 5)
CD,Cluster of Differentiation (кластер дифференцировки)
CD (SD),Sprague Dawley (спрег-доули): Линия лабораторных крыс-альбиносов
CD (SD) BR,"Sprague-Dawley Rats, Barrier Raised (лабораторные крысы Спрег-Доули, выращенные в условиях барьера)"
CDK,Cyclin-Dependent Kinase (циклин-зависимая киназа)
CDK4,Cyclin-Dependent Kinase 4 (циклин-зависимая киназа 4)
CDK6,Cyclin-Dependent Kinase 6 (циклин-зависимая киназа 6)
CEF,Composite Endpoint of Failure (первичная комбинированная конечная точка неэффективности)
CES,Carboxylesterase (карбоксилэстераза)
CES1,Carboxylesterase 1 (карбоксилэстераза 1)
CHADS2,"Congestive Heart Failure, Hypertension, Age, Diabetes, Stroke (шкала оценки риска инсульта у пациентов с фибрилляцией предсердий)"
CHAQ,Children's Health Assessment Questionnaire (опросник оценки здоровья детей)
CKD-EPI,Chronic Kidney Disease Epidemiology Collaboration (формула расчета скорости клубочковой фильтрации)
CLL,Chronic Lymphocytic Leukemia (хронический лимфолейкоз)
CLNR,Non-Renal Clearance (внепочечный клиренс)
CLR,Renal Clearance (почечный клиренс)
CLp,Plasma Clearance (плазменный клиренс)
CLu,Unbound Clearance (собственный клиренс): Клиренс несвязанной (свободной) фракции препарата
CNP,C-Type Natriuretic Peptide (натрийуретический пептид C-типа)
CO2,"Carbon Dioxide (углекислый газ, оксид углерода IV)"
COBI,Cobicistat (Кобицистат)
COVID-19,Coronavirus Disease 2019 (коронавирусная инфекция 2019 года)
CP,Cyclophosphamide (Циклофосфамид)
CP-690550,Лабораторный шифр тофацитиниба
CP-690550-10,"Cp-690550 в форме водной суспензии в носителе, состоящем из 5% метилцеллюлозы и 0,025% твин-80"
CPMP,Committee for Proprietary Medicinal Products (Комитет по лекарственным средствам)
CR,Controlled Release (контролируемое высвобождение)
CRC,Concentration-Response Curve (кривая концентрация-ответ)
CRF,Circulating Recombinant Forms (циркулирующие рекомбинантные формы)
CSF1R,Colony Stimulating Factor 1 Receptor (рецептор колониестимулирующего фактора 1)
CTEPH,Chronic Thromboembolic Pulmonary Hypertension (хроническая тромбоэмболическая легочная гипертензия)
CTLA-4,Cytotoxic T-Lymphocyte-Associated Antigen 4 (антиген 4 цитотоксических T-лимфоцитов)
CVOT,Cardiovascular Outcome Trial (исследование сердечно-сосудистых исходов)
CaMK2d,Calcium/Calmodulin-Dependent Protein Kinase II Delta (кальций/кальмодулин-зависимая протеинкиназа δ)
CaMK2g,Calcium/Calmodulin-Dependent Protein Kinase II Gamma (кальций/кальмодулин-зависимая протеинкиназа γ)
CaMKII,Calmodulin-Dependent Protein Kinase II (кальмодулин-зависимая протеинкиназа II)
Cav,Average Concentration (средняя концентрация)
Ceff,Effective Concentration (фармакологически эффективная концентрация)
Child–Pugh,Child-Pugh Classification (классификация Чайлда-Пью): Метод оценки тяжести цирроза печени и прогнозирования выживаемости пациента на основе клинических и лабораторных показателей
Cl/F,"Apparent Clearance (кажущийся клиренс): Общий клиренс лекарственного вещества после внесосудистого введения, учитывающий биодоступность (F)"
Clast,Last Measurable Concentration (последняя ненулевая концентрация)
ClinicalTrials.gov Identifier,ClinicalTrials.gov Identifier (идентификатор исследования на сайте ClinicalTrials.gov)
Clt,"Total Clearance (общий клиренс препарата): Показатель, характеризующий скорость выведения лекарственного вещества из плазмы крови"
Covid-19,Coronavirus Disease 2019 (коронавирусная инфекция 2019 года)
CrCl,Creatinine Clearance (клиренс креатинина)
CsA,Cyclosporine A (Циклоспорин А)
Ctrough,Trough Concentration (концентрация перед очередным введением)
"Ctrough,ss",rough Concentration at Steady State (концентрация лекарственного вещества в плазме в стационарном состоянии)
Cys,Cysteine (цистеин)
DAS28-4(СОЭ),"Disease Activity Score 28 with 4 Variables (четыре переменные для 28 суставов по шкале активности заболевания), включая скорость оседания эритроцитов"
DAS28-hsCRP,Disease Activity Score 28 with High-Sensitivity C-Reactive Protein (показатель активности заболевания в 28 суставах с помощью высокочувствительного анализа С-реактивного белка)
DAT,Dopamine Transporter (переносчик дофамина)
DCV,Daclatasvir (Даклатасвир)
DDW,Distilled Deionized Water (дистиллированная деионизированная вода)
DEX,Deferasirox (Деферазирокс)
DFN,Deferiprone (Деферипрон)
DFO,Deferoxamine (Дефероксамин)
DICER1,DICER1 Gene (ген DICER1)
DIRKO,Double Incretin Receptor Knockout Mice (линия мышей нокаутных по генам рецепторов гормонов-инкретинов)
DL0,"Maximum Non-Lethal Dose (максимальная нелетальная доза): Высшая доза вещества, не вызывающая летального исхода"
DLCO,Diffusing Capacity for Carbon Monoxide (диффузионная способность легких по монооксиду углерода)
DLQI,Dermatology Life Quality Index (дерматологический индекс качества жизни)
DLV,Delavirdine (Делавирдин)
DNA,Deoxyribonucleic Acid (дезоксирибонуклеиновая кислота)
DOR,Doravirine (Доравирин)
DP,Diphosphate (Дифосфат)
DPP,Dipeptidyl Peptidase (дипептидил-пептидаза)
DPP-IV,Dipeptidyl Peptidase-4 Inhibitor (ингибитор дипептидилпептидазы-4)
DRV,Darunavir (Дарунавир)
DSS,Dahl Salt-Sensitive Rat (перегруженные солью крысы Dahl)
DTG,Dolutegravir (Долутегравир)
DTSQ,Diabetes Treatment Satisfaction Questionnaire (опросник удовлетворенности от лечения диабета)
Dx+,Diagnostic-Positive (диагностированный)
Dx-,Diagnostic-Negative (недиагностированный)
EAC,Event Adjudication Committee (комитет по оценке нежелательных явлений)
EASD,European Association for the Study of Diabetes (Европейская ассоциация по изучению сахарного диабета)
EBSS,Earle's Balanced Salt Solution (сбалансированный солевой раствор Эрла)
ECE,Endothelin Converting Enzyme (эндотелин-превращающий фермент)
EFS,Event-Free Survival (бессобытийная выживаемость)
EFV,Efavirenz (Эфавиренз)
ENF,Enfuvirtide (Энфувиртид)
EORTC,European Organisation for Research and Treatment of Cancer (Европейская организация по исследованию и лечению рака)
EPC,Established Pharmacologic Class (установленный фармакологический класс)
EQ-5D,European Quality of Life 5-Domain Scale (европейская шкала оценки качества жизни по пяти аспектам)
ER-,"Estrogen Receptor-Negative (негативная по рецептору эстрогена): Опухоль, не экспрессирующая рецепторы эстрогена"
ERAUC,"Exposure Ratio Based on AUC (коэффициент экспозиции, основанный на AUC)"
ERK,"Extracellular Signal-Regulated Kinase (киназа, регулируемая внеклеточными сигналами)"
MAPK,Mitogen-Activated Protein Kinase (митоген-активируемая протеинкиназа)
ESI,Electrospray Ionization (источник ионизации электрораспылением)
ESMO,European Society for Medical Oncology (Европейское общество медицинской онкологии)
ESV,Elsulfavirine (Элсульфавирин)
ETR,Etravirine (Этравирин)
EULAR,European League Against Rheumatism (критерии ревматоидного артрита Европейской антиревматической лиги)
EVG,Elvitegravir (Элвитегравир)
EVG/c,"Elvitegravir/Cobicistat (Элвитегравир, бустированный кобицистатом)"
ECOG,Eastern Cooperative Oncology Group (Восточная объединённая онкологическая группа)
F,Females (самки)
FACIT-F,Functional Assessment of Chronic Illness Therapy – Fatigue (опросник для оценки функционального состояния при хронических заболеваниях – подшкала усталости)
FACT-P,Functional Assessment of Cancer Therapy – Prostate (шкала функциональной оценки противораковой терапии – рак предстательной железы)
FBS,Fetal Bovine Serum (фетальная бычья сыворотка)
FDC,Fixed-Dose Combination (комбинация фиксированных доз)
FIH,Factor Inhibiting Hypoxia-Inducible Factor (фактор ингибирования гипоксия-индуцируемого фактора)
FIP1L1,"Factor Interacting with Poly(A) Polymerase L1 (фактор, взаимодействующий с поли(А)-полимеразой L1)"
FKB-12,FK-Binding Protein 12 (FK-связывающий белок 12)
FLT3LG,"Feline McDonough Sarcoma-Like Tyrosine Kinase 3 Ligand (лиганд тирозинкиназы 3, родственный тирозинкиназе Fms)"
FMI,"Final Marketed Item (окончательный вариант, предназначенный для обращения на рынке)"
FMO3,"Flavin-Containing Monooxygenase 3 (мутация, ассоциированная с триметиламинурией)"
FOLFIRI,"Fluorouracil, Leucovorin, Irinotecan (Фторурацил, лейковорин, иринотекан)"
FOLFOX,"Fluorouracil, Leucovorin, Oxaliplatin (Фторурацил, лейковорин, оксалиплатин)"
FPD,Fine Particle Diameter (диаметр мелкодисперсных частиц)
FPV/r,Fosamprenavir/Ritonavir (Фосампренавир/Ритонавир)
FTC,Emtricitabine (Эмтрицитабин)
FTC/F,Emtricitabine/Fumarate (Эмтрицитабин/Фумарат)
Fe (0-t),"Fraction of Dose Excreted in Urine (доля от введенной дозы вещества, экскретируемой с мочой в течение t часов после введения)"
Flt-3,Feline McDonough Sarcoma-Like Tyrosine Kinase 3 (Fms-подобная протеинтирозинкиназа)
Frel,Relative Bioavailability (относительная биодоступность)
GAS6 (AXL),"Growth Arrest-Specific 6 (витамин K-зависимый белок, активирующий рецепторную тирозинкиназу AXL)"
GD,Gestational Day (день гестации)
GINA,Global Initiative for Asthma (глобальная инициатива по бронхиальной астме)
GIP,Gastric Inhibitory Polypeptide (желудочный ингибитор полипептида)
GLDH,Glutamate Dehydrogenase (глутаматдегидрогеназа)
GLE,Glecaprevir (Глекапревир)
GLI,"Glioma-Associated Oncogene (онкоген, ассоциированный с глиомой)"
GLUT,Glucose Transporter (глюкозный транспортер)
GM,Geometric Mean (геометрическое среднее)
GP,Glycoprotein (гликопротеин)
GSS,Genotypic Susceptibility Score (оценка генотипической восприимчивости)
GST,Glutathione S-Transferase (глутатион-S-трансфераза)
GT,Genotype (генотип)
Glu,Glutamic Acid (глутаминовая кислота)
GlyT1,Glycine Transporter 1 (глицин-1 переносчик)
Gmean,Geometric Mean (геометрическое среднее)
GAK,G-Associated Kinase (G-ассоциированная киназа)
HADS,Hospital Anxiety and Depression Scale (шкала тревоги и депрессии)
HAQ-DI,Health Assessment Questionnaire-Disability Index (индекс инвалидизации по опроснику оценки состояния здоровья)
HBsAg,Hepatitis B Surface Antigen (поверхностный антиген вируса гепатита B)
HBs-Ag,Hepatitis B Surface Antigen (поверхностный антиген вируса гепатита B)
HCV,Hepatitis C Virus (вирус гепатита C)
HE,Hypoglycemic Episodes (эпизоды гипогликемии)
HED,Human Equivalent Dose (человеческая эквивалентная доза)
HEPM,Human Embryonic Palatal Mesenchyme (клеточная линия небной мезенхимы эмбриона человека)
HER2,HER2-Negative (отрицательный по рецептору эпидермального фактора роста 2-го типа)
HFe,High-Iron Diet (рацион с высоким содержанием железа)
HGF,Hepatocyte Growth Factor (фактор роста гепатоцитов)
HGPRT,Hypoxanthine-Guanine Phosphoribosyltransferase (гипоксантингуанинфосфорибозилтрансфераза)
HIF,"Hypoxia-Inducible Factor (фактор, индуцируемый гипоксией)"
HIF-1a,"Hypoxia-Inducible Factor 1-Alpha (фактор, индуцируемый гипоксией 1-альфа)"
HIF-α,"Hypoxia-Inducible Factor Alpha (фактор, индуцируемый гипоксией – альфа)"
HIV,Human Immunodeficiency Virus (вирус иммунодефицита человека)
HLM,Human Liver Microsomes (микросомы печени человека)
HOMA-IR,Homeostasis Model Assessment of Insulin Resistance (индекс инсулинорезистентности)
HOMA‑IR,Homeostasis Model Assessment of Insulin Resistance (индекс инсулинорезистентности)
HPI,"Propidium Iodide with Hoechst (йодид пропидия в сочетании с Hoechst): Флуоресцентные красители, используемые для оценки жизнеспособности клеток и определения апоптоза"
HR+,Hormone Receptor-Positive (гормон-рецептор-положительный)
HRV,Human Rhinovirus (человеческий риновирус)
HSA,Human Serum Albumin (человеческий сывороточный альбумин)
Hb,Hemoglobin (гемоглобин)
HbsAg,Hepatitis B Surface Antigen (поверхностный антиген вируса гепатита B)
Hh,Hedgehog Signaling Pathway (сигнальный путь Hedgehog)
Ht,Hematocrit (гематокрит)
IAC,Independent Adjudication Committee (независимый экспертный комитет)
IARC,International Agency for Research on Cancer (Международное агентство по изучению рака)
IB,Immunoblotting (вестерн-блоттинг)
IBDQ,Inflammatory Bowel Disease Questionnaire (опросник для оценки воспалительных заболеваний кишечника)
IBE,Iron-Binding Equivalent (железо-связывающий эквивалент)
ICR,Independent Central Review (независимая централизованная оценка)
ID,Identification Code (идентификационный код)
IDE,Insulin-Degrading Enzyme (инсулино-деградирующий фермент)
IDF,International Diabetes Federation (Международная диабетическая федерация)
IDV,Indinavir (Индинавир)
IFN,Interferon (интерферон)
IGA,Investigator Global Assessment (шкала тяжести атопического дерматита)
IGF,Insulin-Like Growth Factor (инсулиноподобный фактор роста)
IGF1,Insulin-Like Growth Factor 1 (инсулиноподобный фактор роста 1)
IL-6,Interleukin-6 (интерлейкин-6)-6
IMAP,Ion Mobility Affinity Polarization (анализ поляризации флуоресценции на основе сродства ионов)
IMDC,International Metastatic Renal Cell Carcinoma Database Consortium (Международный консорциум по лечению метастатического рака почки)
IND,Investigational New Drug (исследуемый новый препарат)
INSTI,Integrase Strand Transfer Inhibitor (ингибитор переноса цепи интегразы)
ИПЦИ,Ингибитор переноса цепи интегразы
IPSS-R,Revised International Prognostic Scoring System (пересмотренная интернациональная прогностическая шкала)
IR,Immediate Release (немедленное высвобождение)
IRR,Incident Rate Ratio (коэффициент инцидентности)
ISR,Insulin Secretion Rate (скорость секреции инсулина)
ISR/G,Insulin Secretion Rate Adjusted for Glucose (скорость секреции инсулина с поправкой на глюкозу)
ITT,Intention-to-Treat (популяция всех рандомизированных пациентов)
IUPAC,International Union of Pure and Applied Chemistry (Международный союз теоретической и прикладной химии)
IWCLL,International Workshop on Chronic Lymphocytic Leukemia (Критерии международного семинара по хроническому лимфоцитарному лейкозу)
IgA,Immunoglobulin A (иммуноглобулин A)
IgG,Immunoglobulin G (иммуноглобулин G)
JAK,Janus Activated Kinases (янус-активированные киназы)
Jmax,"Maximum Transporter-Mediated Flux (максимальный поток, опосредованный переносчиком)"
K-BILD,King's Brief Interstitial Lung Disease questionnaire (Краткий опросник Кинга по интерстициальным болезням легких)
KIT,"Receptor Tyrosine Kinase CD117 (рецепторная тирозин-протеинкиназа CD117): Трансмембранный рецептор, принадлежащий к классу рецепторных тирозинкиназ, кодируемый протоонкогеном c-KIT"
KLH,Keyhole Limpet Hemocyanin (гемоцианин лимфы улитки)
KRAS,"Kirsten Rat Sarcoma Viral Oncogene Homolog (протоонкоген, кодирующий мембранный белок)"
Kd,"Equilibrium Dissociation Constant (константа равновесной диссоциации): Показатель, характеризующий аффинность взаимодействия между молекулой лиганда и рецептором"
Kel,"Elimination Rate Constant (константа скорости элиминации лекарственного вещества): Показатель, отражающий скорость выведения лекарственного вещества из организма"
Km,"Michaelis Constant (константа Михаэлиса): Показатель, отражающий концентрацию субстрата, при которой скорость ферментативной реакции достигает половины максимального значения"
LAmB,Liposomal Amphotericin B (липосомальный амфотерицин В)
LBQ657,"Sacubitrilat (Сакубитрилат, активный метаболит сакубитрила)"
LC-MS/MS,Liquid Chromatography with Tandem Mass Spectrometry (жидкостная хроматография с тандемной масс-спектрометрией)
LCX,Left Circumflex Artery (левая периферическая коронарная артерия)
LDH,Lactate Dehydrogenase (лактатдегидрогеназа)
LDV,Ledipasvir (Ледипасвир)
LLNA,Local Lymph Node Assay (оценка локальных лимфатических узлов)
LNC,Lymph Node Cell Proliferative Response (пролиферативная реакция клеток лимфатических узлов)
LPV,Lopinavir (Лопинавир)
Lck,Lymphocyte-Specific Protein Tyrosine Kinase (лимфоцит-специфическая протеинтирозинкиназа)
M,Mean (среднее арифметическое)
MEAN,Среднее арифметическое
MACDP,Metropolitan Atlanta Congenital Defects Program (Программа мониторинга врожденных пороков развития города Атланта)
MAO-B,Monoamine Oxidase B (моноаминоксидаза B)
MAT,"Medication-Assisted Treatment (поддерживающая терапия при расстройстве, связанном с употреблением опиоидов)"
MATE1,Multidrug And Toxin Extrusion Protein 1 (белок множественной резистентности и выведения токсинов 1)
MCH,Mean Corpuscular Hemoglobin (среднее содержание гемоглобина в эритроците)
MCP-1,Monocyte Chemotactic Protein-1 (моноцитарный хемотаксический белок-1)
MD,Mid-Dose (средняя доза)
MDA,Malondialdehyde (малоновый диальдегид)
MDCK,Madin-Darby Canine Kidney (клетки Мадин-Дарби почек собак)
MDZ,Midazolam (мидазолам)
MEAN,Среднее арифметическое
MED,Minimum Effective Dose (минимальная эффективная доза)
MEK,Mitogen-Activated Protein Kinase Kinase (киназа митоген-активируемой протеинкиназы)
MEN2,Multiple Endocrine Neoplasia Type 2 (множественная эндокринная неоплазия 2-го типа)
MER,Proto-Oncogene Tyrosine-Protein Kinase MER (протоонкогенная тирозин-протеинкиназа MER)
MMAD,Mass-Median Aerodynamic Diameter (масс-медианный аэродинамический диаметр)
MMC,Mitomycin C (митомицин C)
MMF,Mycophenolate Mofetil (микофенолата мофетил)
MMRM,Mixed-Effects Model for Repeated Measures (модель смешанных эффектов для многократных измерений)
MNC,Mononuclear Cells (мононуклеарные клетки)
MPA,Mycophenolate Sodium (микофенолат натрия)
MPE,Mean Photo Effect (средний фотоэффект)
MR,Modified Release (модифицированное высвобождение)
MRT(0-24),Mean Residence Time (0-24) (среднее время удерживания в течение 24 ч)
MSDS,Material Safety Data Sheet (паспорт безопасности)
MSKCC,Memorial Sloan-Kettering Cancer Center (Мемориальный онкологический центр им. Слоуна-Кеттеринга)
MVC,Maraviroc (маравирок)
МЛВ,Межлекарственное взаимодействие
N.c.,Not calculated (не рассчитано)
NAC,N-ацетилцистеин
NADPH,Никотинамиддинуклеотидфосфат
NAPSI,Индекс тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI100,100% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI50,50% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NAPSI75,75% улучшение по индексу тяжести псориаза ногтей (nail psoriasis severity index)
NCI CTCAE,Общие терминологические критерии нежелательных явлений национального института онкологии сша (national cancer institute common terminology criteria for adverse events)
NCI-ODWG,"Национальный институт онкологии, рабочая группа по нарушению функции органа (national cancer institute classifications for hepatic dysfunction)"
NEP,Неприлизин
NF-kB (RANK),Рецептор-активатор ядерного транскрипционного фактора
NF-κB,"Транскрипционный фактор (ядерный фактор «каппа-би»),   nuclear factor kappa-light-chain-enhancer of activated b cells"
NFV,Нелфинавир
NHE,Na+/h+-обменники
NIH,"National institutes of health, национальный институт здоровья"
NK2,Рецептор тахикининов типа 2
NO,Оксид азота
NOEC,"Концентрация, не вызывающая видимых отрицательных эффектов"
NPH,Человеческий инсулин нейтрал протамин хагедорн
NPR,"Natriuretic peptide receptor, натрийуретический рецептор"
NPY,Нейропептид y
NR,Нейтральный красный
NRAS,"Онкоген n-ras, кодирующий мембранный белок, мутации в семействе белков ras"
NRS,Числовая шкала оценки зуда
NRVM,Миоциты желудочков новорожденных крыс
NS3/4A,Неструктурный белок 4а
NS5A,Неструктурный белок 5а
NSAA,Нестероидный антиандогенный препарат (nonsteroidal antiandrogen)
NSTEMI,"Non-st-elevation myocardial infarction, инфаркт миокарда без подъема сегмента st"
NTDT,"Non-transfusion-dependent thalassemias, талассемии, не зависящие от переливания крови"
NTEL,"No toxic effect level, уровень препарата без токсического эффекта"
NVP,Невирапин
NZW,Белые новозеландские (кролики) (new zealand white)
Numb-associated kinase,Члены семейства нечувствительных киназ
O2,Молекулярный кислород
OARAC,Консультативный совет сша по исследованиям в области спид (the office of aids research advisory council)
OAT1,Транспортер органических анионов 1
"OATP1B1, OATP1B3","Ингибиторы полипептидов 1b1 и 1b3, переносящих органические анионы"
Oct-02,Переносчик органических катионов 2 (organic cation transporter 2 )
OR,Отношение шансов (odds ratio)
OS,Общая выживаемость
OVA,Овальбумин
PAI-1,Ингибитор активатора плазминогена
PAQLQ,Опросник оценки качества жизни - детская версия опросника aqlq
PARP,Поли (адф-рибоза)-полимераза
PASI,Улучшение индекса площади и тяжести псориаза (psoriasis area and severity index)
PASI75,75% улучшение индекса площади и тяжести псориаза (psoriasis area and severity index)
PAWP,Давление заклинивания в легочной артерии (pulmonary arterial wedge pressure)
